text,label
Do doctors check prescriptions manually? please,OTHER
Who works the front desk on weekends? please,OTHER
Does the nurse process prescriptions?,OTHER
Does the portal support process prescriptions?,OTHER
Do real people manage appointment reminders?,OTHER
Does the billing staff send reminders? please,OTHER
do humans verify my insurance card? please,OTHER
Do humans review my lab results?,OTHER
Do humans or computers assign doctors?,OTHER
does the doctor check my insurance?,OTHER
Is a nurse available after hours?,OTHER
Are there nurses on site every day?,OTHER
Is there a person who handles portal messages?,OTHER
Does the clinic have live staff on phones?,OTHER
Do staff members call me about my test results? please,OTHER
Who usually answers the phone at Sunrise Family Medicine?,OTHER
Does the receptionist look at intake forms? please,OTHER
Does the nurse check my insurance,OTHER
Who works the front desk on weekends?,OTHER
Is there a staff member who manages appointments? please,OTHER
Does the portal support team use humans or bots?,OTHER
which doctor specializes in pediatrics?,OTHER
Does the scheduler handle billing?,OTHER
does the billing staff answer calls?,OTHER
Does the billing staff read my messages?,OTHER
Does the scheduler look at intake forms? please,OTHER
Does a real nurse give vaccinations? please,OTHER
Does the nurse answer calls?,OTHER
Does a real nurse give vaccinations,OTHER
Who looks over my intake forms?,OTHER
Is there a nurse who answers portal chats?,OTHER
Does the portal support answer calls please,OTHER
who oversees the front desk team,OTHER
Does the scheduler answer calls?,OTHER
Does the portal support process prescriptions? please,OTHER
Does billing go through staff or a system?,OTHER
Does the doctor handle billing? please,OTHER
Does the doctor send reminders,OTHER
Who is the main doctor at Sunrise Family Medicine? please,OTHER
Do humans review my lab results,OTHER
How many receptionists work at the clinic?,OTHER
do doctors check prescriptions manually?,OTHER
Is there a nurse who answers portal chats? please,OTHER
do humans verify my insurance card?,OTHER
does the nurse check my insurance?,OTHER
Does the staff handle walk-ins or is it automated?,OTHER
which doctor will i see at my first visit?,OTHER
Does the front desk look at intake forms?,OTHER
Does the nurse read my messages?,OTHER
does the portal support team use humans or bots? please,OTHER
How many receptionists work at the clinic? please,OTHER
is my doctor a real person or automated?,OTHER
Does the scheduler send reminders?,OTHER
Does the staff handle walk-ins or is it automated? please,OTHER
Does the receptionist process prescriptions?,OTHER
Who schedules follow-up appointments?,OTHER
do real people manage appointment reminders,OTHER
Does the nurse read my messages,OTHER
is a nurse available after hours? please,OTHER
do humans or computers assign doctors?,OTHER
Who handles billing at the clinic?,OTHER
Does the receptionist send out reminders?,OTHER
Who looks at the faxes that come in? please,OTHER
Which doctor is in charge of family medicine? please,OTHER
Are my messages read by a nurse?,OTHER
Does a nurse usually answer portal messages?,OTHER
Who looks over my intake forms? please,OTHER
Does a nurse usually answer portal messages? please,OTHER
Does the doctor send reminders?,OTHER
Does the portal support check my insurance?,OTHER
Is there a staff member who manages appointments?,OTHER
Are my messages read by a nurse? please,OTHER
Is my doctor a real person or automated?,OTHER
Which doctor specializes in pediatrics?,OTHER
Does the billing staff send reminders?,OTHER
does a nurse usually answer portal messages please,OTHER
Who takes care of parking validation?,OTHER
Is a nurse available after hours? please,OTHER
Does the portal support process prescriptions,OTHER
Does the doctor check my insurance?,OTHER
Does the receptionist answer calls? please,OTHER
Does the portal support team use humans or bots,OTHER
does the receptionist send out reminders?,OTHER
does the receptionist handle billing?,OTHER
Is there a person who handles portal messages? please,OTHER
Does the receptionist look at intake forms?,OTHER
Does the nurse send reminders?,OTHER
does a nurse usually answer portal messages? please,OTHER
Does the nurse send reminders? please,OTHER
How many staff members work there? please,OTHER
Does the receptionist answer calls?,OTHER
does the front desk answer calls?,OTHER
Is a nurse available after hours,OTHER
Who checks patient forms at check-in?,OTHER
