text,label
this is annoying stop asking me that,EXIT_APPT
uh I dont want to do this anymore,EXIT_APPT
"uh Get me out of this loop, I'm done",EXIT_APPT
uh i dont want to book anything,EXIT_APPT
uh lets stop it right here,EXIT_APPT
"Get me out of this loop, i'm done",EXIT_APPT
stop scheduling for me!,EXIT_APPT
uh please stop asking me that,EXIT_APPT
dont ask me that anymore,EXIT_APPT
I dont want to do this anymore,EXIT_APPT
stop trying to make an appt,EXIT_APPT
"...these times aren't working, Ill just give up",EXIT_APPT
"okay im getting mad, dont schedule me then",EXIT_APPT
Lets stop trying to schedule me for now,EXIT_APPT
uhh stop with this scheduling,EXIT_APPT
this is stupid stop it,EXIT_APPT
i dont care about this anymore.,EXIT_APPT
lets stop It rIght here,EXIT_APPT
i said stop it!,EXIT_APPT
"forget it, no appointment.",EXIT_APPT
Just stop scheduling anything,EXIT_APPT
oh stop with this scheduling,EXIT_APPT
uhh okay i’m done now,EXIT_APPT
uhh this is stupid stop it,EXIT_APPT
just exit scheduling mode,EXIT_APPT
oh i dont want to continue this,EXIT_APPT
thIs Is poIntless stop It,EXIT_APPT
uh just cancel this appointment thing,EXIT_APPT
"uh okay im getting mad, dont schedule me then",EXIT_APPT
I'm not trying to schedule an appointment anymore,EXIT_APPT
I'm not trying to schedule an appointment anymore.,EXIT_APPT
hmm quit asking me about that,EXIT_APPT
Please stop asking me that,EXIT_APPT
stop please please stop with the appointment stuff,EXIT_APPT
no appointment needed,EXIT_APPT
uhh please stop asking me that,EXIT_APPT
uh stop scheduling for me,EXIT_APPT
this is pointless stop it,EXIT_APPT
i said stop it.,EXIT_APPT
"im finished, no more scheduling please",EXIT_APPT
hmm stop scheduling for me,EXIT_APPT
dont schedule anythIng for me,EXIT_APPT
stop scheduling mode,EXIT_APPT
dont schedule anything for me.,EXIT_APPT
uhh im done with this scheduling thing,EXIT_APPT
hmm stop scheduling for me,EXIT_APPT
stop this loop please.,EXIT_APPT
...I dont want to do this anymore,EXIT_APPT
please stop asking me that!,EXIT_APPT
please exit appt scheduling,EXIT_APPT
i dont want to schedule anymore,EXIT_APPT
"uh these times aren't working, Ill just give up",EXIT_APPT
this is pointless stop it,EXIT_APPT
let’s stop thIs,EXIT_APPT
"these times aren't working, Ill just give up",EXIT_APPT
I dont want to schedule anymore.,EXIT_APPT
please stop asking me that,EXIT_APPT
i want to stop,EXIT_APPT
hmm i dont want to talk about scheduling,EXIT_APPT
i dont want to do this anymore,EXIT_APPT
...I'm done scheduling an appointment for now,EXIT_APPT
no appointment needed,EXIT_APPT
hmm im done with this scheduling thing,EXIT_APPT
...dont ask me that anymore,EXIT_APPT
just exIt schedulIng mode,EXIT_APPT
okay i’m done now please,EXIT_APPT
okay stop trying to set appointments,EXIT_APPT
Lets stop trying to schedule me for now,EXIT_APPT
"Get me out of this loop, I'm done.",EXIT_APPT
stop making appts,EXIT_APPT
stop scheduling mode,EXIT_APPT
okay i’m done now,EXIT_APPT
quit asking me about that,EXIT_APPT
"hmm these times aren't working, Ill just give up",EXIT_APPT
hmm quit asking me about that,EXIT_APPT
Im not goIng to do thIs anymore,EXIT_APPT
hmm stop making appointments,EXIT_APPT
oh this is pointless stop it,EXIT_APPT
cancel the appointment scheduling please,EXIT_APPT
i said stop scheduling,EXIT_APPT
stop schedulIng for me,EXIT_APPT
just exit scheduling mode,EXIT_APPT
I'm not trying to schedule an appointment anymore please,EXIT_APPT
...stop scheduling for me,EXIT_APPT
...i said stop scheduling,EXIT_APPT
stop scheduling mode please,EXIT_APPT
"these times aren't working, Ill just give up please",EXIT_APPT
oh i dont want to book anything,EXIT_APPT
Just stop scheduling anything,EXIT_APPT
"hmm i changed my mind, no appointment",EXIT_APPT
"stop, i dont want to schedule",EXIT_APPT
"okay I'm getting mad, dont schedule me then",EXIT_APPT
"forget it, no appointment please",EXIT_APPT
can we stop now,EXIT_APPT
...please exit appointment scheduling,EXIT_APPT
I dont want to schedule an appt,EXIT_APPT
I dont want to schedule an appointment please,EXIT_APPT
...I dont want to be scheduled anymore,EXIT_APPT
stop please dont book anything else,EXIT_APPT
just cancel this appointment thing,EXIT_APPT
stop asking me about times.,EXIT_APPT
lets stop trying to schedule me for now please,EXIT_APPT
uhh stop asking me about times,EXIT_APPT
stop it please,EXIT_APPT
i said stop it,EXIT_APPT
dont ask me that anymore,EXIT_APPT
"stop please stop, i dont want to schedule",EXIT_APPT
please cancel thIs,EXIT_APPT
...stop it,EXIT_APPT
Quit asking me about that,EXIT_APPT
please stop asking me that,EXIT_APPT
hmm i want to stop,EXIT_APPT
"forget it, no appointment please",EXIT_APPT
oh just exit scheduling mode,EXIT_APPT
i don't want to book anything,EXIT_APPT
"hmm screw this, stop scheduling the appointment",EXIT_APPT
uhh just exit scheduling mode,EXIT_APPT
stop please just stop scheduling anything,EXIT_APPT
please stop asking me that,EXIT_APPT
cancel the appoIntment schedulIng,EXIT_APPT
"screw this, stop scheduling the appointment!",EXIT_APPT
...I dont want to schedule an appointment,EXIT_APPT
get out of appoIntment mode,EXIT_APPT
uhh quit asking me about that,EXIT_APPT
stop asking me about times,EXIT_APPT
...okay i’m done now,EXIT_APPT
...i dont care about this anymore,EXIT_APPT
stop with this scheduling.,EXIT_APPT
uh i dont want to book anything,EXIT_APPT
I'm done with this scheduling thing,EXIT_APPT
stop scheduling for me.,EXIT_APPT
uh please stop with the appointment stuff,EXIT_APPT
uh i said stop it,EXIT_APPT
uhh stop scheduling mode,EXIT_APPT
stop scheduling mode please,EXIT_APPT
"Enough, i’m done scheduling",EXIT_APPT
please stop asking me that,EXIT_APPT
...i said stop it,EXIT_APPT
stop please i dont want to talk about scheduling,EXIT_APPT
uh I'm not trying to schedule an appointment anymore,EXIT_APPT
"Get me out of this loop, I'm done please",EXIT_APPT
i dont care about this anymore,EXIT_APPT
hmm Im not going to do this anymore,EXIT_APPT
just stop scheduling anything!,EXIT_APPT
stop trying to make an appointment,EXIT_APPT
quit asking me about that!,EXIT_APPT
oh stop it,EXIT_APPT
just exit scheduling mode please,EXIT_APPT
just exit scheduling mode please,EXIT_APPT
i want to stop,EXIT_APPT
I dont want to confIrm anythIng,EXIT_APPT
"stop, i dont want to schedule!",EXIT_APPT
I already said i dont want to schedule please,EXIT_APPT
"screw this, stop scheduling the appointment!",EXIT_APPT
just stop scheduling anything!,EXIT_APPT
stop it,EXIT_APPT
I dont want to schedule anymore,EXIT_APPT
okay i’m done now.,EXIT_APPT
lets stop trying to schedule me for now please,EXIT_APPT
i don't want to book anything,EXIT_APPT
I dont want to schedule anymore,EXIT_APPT
hmm can we stop now,EXIT_APPT
stop please lets stop trying to schedule me for now,EXIT_APPT
uh just cancel this appointment thing,EXIT_APPT
dont schedule anything for me,EXIT_APPT
stop please please exit appointment scheduling,EXIT_APPT
hmm please stop asking me that,EXIT_APPT
i want to stop,EXIT_APPT
uhh I dont want to do this anymore,EXIT_APPT
oh okay stop trying to set appointments,EXIT_APPT
i want to stop,EXIT_APPT
oh i want to stop,EXIT_APPT
stop please I dont want to schedule an appointment,EXIT_APPT
just stop scheduling anything!,EXIT_APPT
dont ask me that anymore,EXIT_APPT
i dont want to continue this please,EXIT_APPT
"okay im getting mad, dont schedule me then",EXIT_APPT
"uhh enough, i’m done scheduling",EXIT_APPT
i don't care about this anymore,EXIT_APPT
hmm quit asking me about that,EXIT_APPT
uh can we stop now,EXIT_APPT
okay stop tryIng to set appoIntments,EXIT_APPT
I dont want to schedule anymore,EXIT_APPT
just cancel this appt thing,EXIT_APPT
Im not going to do this anymore please,EXIT_APPT
I'm not trying to schedule an appointment anymore please,EXIT_APPT
"uhh im finished, no more scheduling",EXIT_APPT
"stop please okay im getting mad, dont schedule me then",EXIT_APPT
please stop with the appointment stuff.,EXIT_APPT
"i changed my mind, no appointment please",EXIT_APPT
I'm done schedulIng an appoIntment for now,EXIT_APPT
...can we stop now,EXIT_APPT
im done talking about appointments!,EXIT_APPT
stop scheduling mode.,EXIT_APPT
Stop making appointments,EXIT_APPT
"Screw this, stop scheduling the appointment",EXIT_APPT
stop please just exit scheduling mode,EXIT_APPT
Let’s stop this,EXIT_APPT
okay stop trying to set appointments,EXIT_APPT
i dont want to do this anymore,EXIT_APPT
"these tI'mes aren't working, Ill just give up",EXIT_APPT
uhh cancel the appointment scheduling,EXIT_APPT
please exit appointment scheduling please,EXIT_APPT
please stop with the appointment stuff.,EXIT_APPT
uh please cancel this,EXIT_APPT
stop with this scheduling,EXIT_APPT
stop please get me out of this appointment thing,EXIT_APPT
im done with this scheduling thing please,EXIT_APPT
uhh lets stop trying to schedule me for now,EXIT_APPT
oh just stop scheduling anything,EXIT_APPT
dont ask me that anymore,EXIT_APPT
Cancel the appointment scheduling,EXIT_APPT
let’s stop this.,EXIT_APPT
oh this is annoying stop asking me that,EXIT_APPT
...lets stop trying to schedule me for now,EXIT_APPT
I dont want to schedule anymore please,EXIT_APPT
hmm dont book anything else,EXIT_APPT
dont ask me that anymore,EXIT_APPT
stop please lets stop trying to schedule me for now,EXIT_APPT
stop please i said stop it,EXIT_APPT
i dont want to talk about scheduling,EXIT_APPT
