text,label
"I’m sweating like crazy, I’ll try to explain.",STAY_APPT
"I can’t focus, feeling awful...",STAY_APPT
can’t see straight,STAY_APPT
fever is too high...,STAY_APPT
I’m coughing too much,STAY_APPT
"I feel like throwing up, barely awake.",STAY_APPT
I can’t stop sneezing!,STAY_APPT
I’m dizzy right now.,STAY_APPT
"my fever is crazy high, it’s getting worse!",STAY_APPT
"I keep coughing, just feeling off.",STAY_APPT
"pain everywhere, I need to gather myself!",STAY_APPT
"I’m shivering, still not getting better...",STAY_APPT
"I keep coughing, feeling awful!",STAY_APPT
lightheaded,STAY_APPT
I’m sweating like crazy...,STAY_APPT
"I’m dizzy right now, barely awake.",STAY_APPT
I can’t stop sneezing...,STAY_APPT
"I’m short of breath, feeling awful!",STAY_APPT
"cough won’t stop, feeling awful.",STAY_APPT
my stomach hurts so much.,STAY_APPT
"I feel nauseous, so uncomfortable...",STAY_APPT
my stomach hurts so much...,STAY_APPT
"I can’t focus, I’m unable to stay awake right now",STAY_APPT
"my stomach hurts so much, still not getting better...",STAY_APPT
I feel sick,STAY_APPT
"cough won’t stop, I’ll try to explain...",STAY_APPT
can’t see straight.,STAY_APPT
"vomiting a lot, just feeling off!",STAY_APPT
"coughing too much, I’ll try to explain!",STAY_APPT
my heart is racing!,STAY_APPT
"I don’t feel my back, let me think!",STAY_APPT
"bad headache, I can’t explain it well.",STAY_APPT
I can’t stop panicking...,STAY_APPT
I feel really hot!,STAY_APPT
"I can’t focus, I need to gather myself.",STAY_APPT
"too much fever, this is bad...",STAY_APPT
I’m so tired I can’t think!,STAY_APPT
"vomiting a lot, I don’t remember...",STAY_APPT
my hands are shaking!,STAY_APPT
"vision is blurry, still not getting better",STAY_APPT
my back feels numb...,STAY_APPT
"my heart is racing, give me a moment...",STAY_APPT
coughing too much.,STAY_APPT
I keep coughing.,STAY_APPT
I’m short of breath...,STAY_APPT
"my hands are shaking, no idea what's going on...",STAY_APPT
I can’t hear out of my left ear.,STAY_APPT
my throat is closing up,STAY_APPT
my hands are shaking.,STAY_APPT
I feel dizzy...,STAY_APPT
