text,label
What is the name of the clinic?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
Which clinic am I speaking with?,ADMIN_INFO
Can you tell me the clinic's name?,ADMIN_INFO
Can you tell me the clinic's name?,ADMIN_INFO
Can you tell me the clinic's name?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
What's your practice called?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
What's your practice called?,ADMIN_INFO
Who are you guys?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
Can you tell me the clinic's name?,ADMIN_INFO
Can you tell me the clinic's name?,ADMIN_INFO
What's your practice called?,ADMIN_INFO
What's your practice called?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
What's your practice called?,ADMIN_INFO
Can you tell me the clinic's name?,ADMIN_INFO
What's your practice called?,ADMIN_INFO
Who are you guys?,ADMIN_INFO
Can you tell me the clinic's name?,ADMIN_INFO
Who are you guys?,ADMIN_INFO
What's your practice called?,ADMIN_INFO
Which clinic am I speaking with?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
Can you tell me the clinic's name?,ADMIN_INFO
Who are you guys?,ADMIN_INFO
Which clinic am I speaking with?,ADMIN_INFO
Which clinic am I speaking with?,ADMIN_INFO
Can you tell me the clinic's name?,ADMIN_INFO
Can you tell me the clinic's name?,ADMIN_INFO
Which clinic am I speaking with?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
Who are you guys?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
Which clinic am I speaking with?,ADMIN_INFO
Which clinic am I speaking with?,ADMIN_INFO
What's your practice called?,ADMIN_INFO
Which clinic am I speaking with?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
Who are you guys?,ADMIN_INFO
What's your practice called?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
Who are you guys?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
What's your practice called?,ADMIN_INFO
Which clinic am I speaking with?,ADMIN_INFO
What's your practice called?,ADMIN_INFO
Which clinic am I speaking with?,ADMIN_INFO
What's your practice called?,ADMIN_INFO
Can you tell me the clinic's name?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
Can you tell me the clinic's name?,ADMIN_INFO
Which clinic am I speaking with?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
Can you tell me the clinic's name?,ADMIN_INFO
What is the name of the clinic?,ADMIN_INFO
How do I get to your office?,ADMIN_INFO
Can you give me the clinic's location?,ADMIN_INFO
How do I get to your office?,ADMIN_INFO
Can you give me the clinic's location?,ADMIN_INFO
What is your address?,ADMIN_INFO
Can you give me the clinic's location?,ADMIN_INFO
Can you give me the clinic's location?,ADMIN_INFO
What is your address?,ADMIN_INFO
Can you give me the clinic's location?,ADMIN_INFO
Where is the clinic located?,ADMIN_INFO
What's the street address of the clinic?,ADMIN_INFO
What is your address?,ADMIN_INFO
What's the street address of the clinic?,ADMIN_INFO
What is your address?,ADMIN_INFO
What is your address?,ADMIN_INFO
How do I get to your office?,ADMIN_INFO
How do I get to your office?,ADMIN_INFO
Can you give me the clinic's location?,ADMIN_INFO
What's the street address of the clinic?,ADMIN_INFO
What is your address?,ADMIN_INFO
Can you give me the clinic's location?,ADMIN_INFO
Where is the clinic located?,ADMIN_INFO
What is your address?,ADMIN_INFO
Where is the clinic located?,ADMIN_INFO
Can you give me the clinic's location?,ADMIN_INFO
How do I get to your office?,ADMIN_INFO
Can you give me the clinic's location?,ADMIN_INFO
Where is the clinic located?,ADMIN_INFO
What is your address?,ADMIN_INFO
What's the street address of the clinic?,ADMIN_INFO
Can you give me the clinic's location?,ADMIN_INFO
What is your address?,ADMIN_INFO
How do I get to your office?,ADMIN_INFO
How do I get to your office?,ADMIN_INFO
How do I get to your office?,ADMIN_INFO
What is your address?,ADMIN_INFO
Can you give me the clinic's location?,ADMIN_INFO
What is your address?,ADMIN_INFO
What is your address?,ADMIN_INFO
What's the street address of the clinic?,ADMIN_INFO
What's the street address of the clinic?,ADMIN_INFO
Can you give me the clinic's location?,ADMIN_INFO
What's the street address of the clinic?,ADMIN_INFO
How do I get to your office?,ADMIN_INFO
What's the street address of the clinic?,ADMIN_INFO
How do I get to your office?,ADMIN_INFO
Can you give me the clinic's location?,ADMIN_INFO
What is your address?,ADMIN_INFO
What is your address?,ADMIN_INFO
What's the street address of the clinic?,ADMIN_INFO
How do I get to your office?,ADMIN_INFO
Where is the clinic located?,ADMIN_INFO
Where is the clinic located?,ADMIN_INFO
Where is the clinic located?,ADMIN_INFO
What is your address?,ADMIN_INFO
What is your address?,ADMIN_INFO
How do I get to your office?,ADMIN_INFO
What's the street address of the clinic?,ADMIN_INFO
Where is the clinic located?,ADMIN_INFO
How do I get to your office?,ADMIN_INFO
How do I get to your office?,ADMIN_INFO
What's the street address of the clinic?,ADMIN_INFO
What number should I use to reach you?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
How do I call the clinic?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
What is your phone number?,ADMIN_INFO
What is your phone number?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
How do I call the clinic?,ADMIN_INFO
How do I call the clinic?,ADMIN_INFO
What is your phone number?,ADMIN_INFO
How do I call the clinic?,ADMIN_INFO
What number should I use to reach you?,ADMIN_INFO
Can I have the fax number?,ADMIN_INFO
What number should I use to reach you?,ADMIN_INFO
What is your phone number?,ADMIN_INFO
How do I call the clinic?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
Can I have the fax number?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
What is your phone number?,ADMIN_INFO
How do I call the clinic?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
Can I have the fax number?,ADMIN_INFO
Can I have the fax number?,ADMIN_INFO
How do I call the clinic?,ADMIN_INFO
Can I have the fax number?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
What is your phone number?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
How do I call the clinic?,ADMIN_INFO
What number should I use to reach you?,ADMIN_INFO
What is your phone number?,ADMIN_INFO
What is your phone number?,ADMIN_INFO
How do I call the clinic?,ADMIN_INFO
How do I call the clinic?,ADMIN_INFO
Can I have the fax number?,ADMIN_INFO
What is your phone number?,ADMIN_INFO
Can I have the fax number?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
What is your phone number?,ADMIN_INFO
What is your phone number?,ADMIN_INFO
What number should I use to reach you?,ADMIN_INFO
What is your phone number?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
Can I have the fax number?,ADMIN_INFO
Can I have the fax number?,ADMIN_INFO
What number should I use to reach you?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
Can I have the fax number?,ADMIN_INFO
How do I call the clinic?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
What number should I use to reach you?,ADMIN_INFO
Can I have the fax number?,ADMIN_INFO
What is your fax line?,ADMIN_INFO
Can I have the fax number?,ADMIN_INFO
How do I call the clinic?,ADMIN_INFO
What number should I use to reach you?,ADMIN_INFO
How do I call the clinic?,ADMIN_INFO
What number should I use to reach you?,ADMIN_INFO
What are the clinic's hours of operation?,ADMIN_INFO
Are you open on Saturday?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
What time do you close on weekdays?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
What are the clinic's hours of operation?,ADMIN_INFO
What are the clinic's hours of operation?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
What are the clinic's hours of operation?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
What time do you close on weekdays?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
What are the clinic's hours of operation?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
What time do you close on weekdays?,ADMIN_INFO
Are you open on Saturday?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
What are the clinic's hours of operation?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
What are the clinic's hours of operation?,ADMIN_INFO
What are the clinic's hours of operation?,ADMIN_INFO
Are you open on Saturday?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
Are you open on Saturday?,ADMIN_INFO
Are you open on Saturday?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
Are you open on Saturday?,ADMIN_INFO
What time do you close on weekdays?,ADMIN_INFO
Are you open on Saturday?,ADMIN_INFO
Are you open on Saturday?,ADMIN_INFO
Are you open on Saturday?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
Are you open on Saturday?,ADMIN_INFO
What time do you close on weekdays?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
What are the clinic's hours of operation?,ADMIN_INFO
Are you open on Saturday?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
Are you open on Saturday?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
What time do you close on weekdays?,ADMIN_INFO
Are you open on Saturday?,ADMIN_INFO
When do you open on Friday?,ADMIN_INFO
What are your hours on Monday?,ADMIN_INFO
Are you open on Saturday?,ADMIN_INFO
What are the clinic's hours of operation?,ADMIN_INFO
Do you have parking available?,ADMIN_INFO
Do you have parking available?,ADMIN_INFO
Do you validate parking?,ADMIN_INFO
Do you have parking available?,ADMIN_INFO
Do you have parking available?,ADMIN_INFO
Where can I park when I come in?,ADMIN_INFO
Where can I park when I come in?,ADMIN_INFO
How does your parking lot work?,ADMIN_INFO
How does your parking lot work?,ADMIN_INFO
How does your parking lot work?,ADMIN_INFO
Where can I park when I come in?,ADMIN_INFO
How does your parking lot work?,ADMIN_INFO
Do you have parking available?,ADMIN_INFO
Where can I park when I come in?,ADMIN_INFO
How does your parking lot work?,ADMIN_INFO
Do you have parking available?,ADMIN_INFO
How does your parking lot work?,ADMIN_INFO
Is parking free at the clinic?,ADMIN_INFO
How does your parking lot work?,ADMIN_INFO
Is parking free at the clinic?,ADMIN_INFO
How does your parking lot work?,ADMIN_INFO
Do you validate parking?,ADMIN_INFO
How does your parking lot work?,ADMIN_INFO
Where can I park when I come in?,ADMIN_INFO
Where can I park when I come in?,ADMIN_INFO
Is parking free at the clinic?,ADMIN_INFO
Where can I park when I come in?,ADMIN_INFO
Do you have parking available?,ADMIN_INFO
Do you validate parking?,ADMIN_INFO
Do you validate parking?,ADMIN_INFO
Do you have parking available?,ADMIN_INFO
Is parking free at the clinic?,ADMIN_INFO
Do you have parking available?,ADMIN_INFO
Do you have parking available?,ADMIN_INFO
Do you validate parking?,ADMIN_INFO
How does your parking lot work?,ADMIN_INFO
Do you validate parking?,ADMIN_INFO
Do you validate parking?,ADMIN_INFO
Where can I park when I come in?,ADMIN_INFO
Do you have parking available?,ADMIN_INFO
Do you validate parking?,ADMIN_INFO
Do you have parking available?,ADMIN_INFO
Where can I park when I come in?,ADMIN_INFO
Do you have parking available?,ADMIN_INFO
Do you validate parking?,ADMIN_INFO
Do you have parking available?,ADMIN_INFO
