text,label
Can wm cancel my appt?,APPT_CANCEL
I want to cancel my appoi;tment,APPT_CANCEL
Help me cancel myo appointment,APPT_CANCEL
I need to cancel for tomorrow,APPT_CANCEL
Can you cancel my a;pt?,APPT_CANCEL
Help me cancel my appointment,APPT_CANCEL
Plvase cancel an appointment for me,APPT_CANCEL
Can you capcel my appt?,APPT_CANCEL
I nred to cancel the appoiuntment,APPT_CANCEL
Poease cancel an appointment for me,APPT_CANCEL
I want to cancel my appointment,APPT_CANCEL
Please cancel an appointment fok me,APPT_CANCEL
Can you c;ncel my appt?,APPT_CANCEL
Can yom cancel my appt?,APPT_CANCEL
Cancwe cancel my apopt?,APPT_CANCEL
Please hzlp mue cancel,APPT_CANCEL
I need to cancel the aupointment,APPT_CANCEL
I need to cancel for tomorrow,APPT_CANCEL
Can you cancel my appt?,APPT_CANCEL
Can we cancel my appt?,APPT_CANCEL
I need to cancel the appointment,APPT_CANCEL
Please help mehcancel,APPT_CANCEL
Please help me cancel,APPT_CANCEL
Pleasea help md cancel,APPT_CANCEL
Canoel my appointment please,APPT_CANCEL
bancel my appointament please,APPT_CANCEL
I'd like to ceancel my appointment,APPT_CANCEL
Pwease cancel an appointment for me,APPT_CANCEL
Help me cancel my appoqntment,APPT_CANCEL
Please help me cancel,APPT_CANCEL
Please helip me rancel,APPT_CANCEL
I want th cancel my appointment,APPT_CANCEL
I'd like to can;el may appointment,APPT_CANCEL
Please canacel an appointment for me,APPT_CANCEL
Cancel ry appoiintment please,APPT_CANCEL
Cancel my appocntment please,APPT_CANCEL
I'd like to cancel my appointment,APPT_CANCEL
Heolp me cancel my appointjent,APPT_CANCEL
I need to cancel the appointmeht,APPT_CANCEL
Pleasb cancel an appoinotment for me,APPT_CANCEL
Can wie cancel my appt?,APPT_CANCEL
Can you cancel my appto?,APPT_CANCEL
I want to cancel fy appointment,APPT_CANCEL
I'd like to cancel my iappointment,APPT_CANCEL
Can you cancet my appt?,APPT_CANCEL
Please help me cancel,APPT_CANCEL
Please cancel an appointment for me,APPT_CANCEL
Canecel my appointment please,APPT_CANCEL
I need to canciel the appointment,APPT_CANCEL
Help me canceal my appointment,APPT_CANCEL
I want to cvncel my appointment,APPT_CANCEL
Cancel miy appointment please,APPT_CANCEL
jliease help me cancel,APPT_CANCEL
I need to cancel the appointment,APPT_CANCEL
Can you cancel mye appt?,APPT_CANCEL
Please cancel af appointment for me,APPT_CANCEL
I need to icancelmfor tomorrow,APPT_CANCEL
I need to cancel for tomorrow,APPT_CANCEL
Please help me kancel,APPT_CANCEL
Help mi cancel my appointment,APPT_CANCEL
I woant to cancel my appointment,APPT_CANCEL
Please help me cancel,APPT_CANCEL
Cancel my appointment please,APPT_CANCEL
I want to cancel my appointment,APPT_CANCEL
Please cancel an appointment for me,APPT_CANCEL
I need to cancel for tomorrow,APPT_CANCEL
I'd like to cancel myiaappointment,APPT_CANCEL
Can we cancel my appt?,APPT_CANCEL
I waint tozcancel my appointment,APPT_CANCEL
I want to cancelu my appointment,APPT_CANCEL
Hulp me cancel my appointment,APPT_CANCEL
Help me canicel my appointment,APPT_CANCEL
Canceul my appointment please,APPT_CANCEL
I need to cancel for tomorrow,APPT_CANCEL
Can youscancel my appt?,APPT_CANCEL
Pleasie help me cancel,APPT_CANCEL
Cancel my appointment please,APPT_CANCEL
I'r like to cancel my appointment,APPT_CANCEL
gelp me cancel my appoiintment,APPT_CANCEL
Please cancel an appointment for me,APPT_CANCEL
;an you cancel my appt?,APPT_CANCEL
Help mie cancel my appointmenq,APPT_CANCEL
Please help me cancel,APPT_CANCEL
Can you cancel my apqt?,APPT_CANCEL
Can we cancel myiappt?,APPT_CANCEL
I neid to cancel the appointment,APPT_CANCEL
I'd like to cancel my appointment,APPT_CANCEL
relp me cancel my appointment,APPT_CANCEL
Please cancel an appoinwment for me,APPT_CANCEL
Please cancel an appointment for me,APPT_CANCEL
Please cancel an appointment for me,APPT_CANCEL
I want to cancel my appointment,APPT_CANCEL
Please cancel an appointment for me,APPT_CANCEL
I want to cancel my appointment,APPT_CANCEL
I need to cancel the appointmett,APPT_CANCEL
I need to cancel for toumorrol,APPT_CANCEL
Please help me cancel,APPT_CANCEL
Can ge cancel my appt?,APPT_CANCEL
Please cancel an appointmend for me,APPT_CANCEL
I need to cancel the appointment,APPT_CANCEL
