text,label
Schedule me with Dr. Hernandez,APPT_NEW
Schedule me for primary care,APPT_NEW
Please schedule obstetrics,APPT_NEW
I want to see Dr. Clark,APPT_NEW
need psychiatry,APPT_NEW
New appointment for family medicine,APPT_NEW
Please schedule pediatrics,APPT_NEW
New appointment for primary care,APPT_NEW
looking for internal medicine,APPT_NEW
Please schedule gastroenterology,APPT_NEW
I’d like to see a family medicine specialist,APPT_NEW
New appointment for endocrinology,APPT_NEW
Book me for primary care,APPT_NEW
Set up an appointment with Dr. Brown,APPT_NEW
New appointment for nephrology,APPT_NEW
I’d like an appointment with Dr. Rivera,APPT_NEW
I want a internal medicine visit,APPT_NEW
urology,APPT_NEW
Schedule me with Dr. Lee,APPT_NEW
I need to see a orthopedics,APPT_NEW
need psychiatry,APPT_NEW
Set up an appointment with Dr. Clark,APPT_NEW
Schedule me with Dr. Johnson,APPT_NEW
Schedule me with Dr. Kim,APPT_NEW
looking for gynecology,APPT_NEW
family medicine visit,APPT_NEW
Book me for physical therapy,APPT_NEW
I want to see Dr. Rivera,APPT_NEW
endocrinology appointment,APPT_NEW
I’d like to see a family medicine specialist,APPT_NEW
Schedule me with Dr. Patel,APPT_NEW
Set up an appointment with Dr. Patel,APPT_NEW
Book me with Dr. Nguyen,APPT_NEW
looking for gastroenterology,APPT_NEW
I want a ophthalmology visit,APPT_NEW
I need to see a obstetrics,APPT_NEW
Can I get cardiology next week,APPT_NEW
Schedule me with Dr. Brown,APPT_NEW
I’d like to see a obstetrics specialist,APPT_NEW
set up gynecology,APPT_NEW
gynecology appointment,APPT_NEW
I’d like an appointment with Dr. Lopez,APPT_NEW
I want a ophthalmology visit,APPT_NEW
Schedule me with Dr. Garcia,APPT_NEW
Book me for immunology,APPT_NEW
Book me for oncology,APPT_NEW
Please schedule with Dr. Lopez,APPT_NEW
allergy appointment,APPT_NEW
Can I get in with Dr. Clark,APPT_NEW
I want to see Dr. Johnson,APPT_NEW
immunology,APPT_NEW
I want to see a gynecology,APPT_NEW
Please schedule with Dr. Lopez,APPT_NEW
I’d like an appointment with Dr. Hernandez,APPT_NEW
Please schedule gynecology,APPT_NEW
I want to see Dr. Lopez,APPT_NEW
I need a otolaryngology appointment,APPT_NEW
primary care visit,APPT_NEW
schedule dermatology,APPT_NEW
need psychiatry,APPT_NEW
ophthalmology visit,APPT_NEW
I need to see a gynecology,APPT_NEW
I need a dermatology appointment,APPT_NEW
Schedule me for neurology,APPT_NEW
I’d like to see a urology specialist,APPT_NEW
Schedule me with Dr. Clark,APPT_NEW
rheumatology appointment,APPT_NEW
I want a neurology visit,APPT_NEW
family medicine appointment,APPT_NEW
I need to see a urology,APPT_NEW
New appointment for endocrinology,APPT_NEW
looking for urology,APPT_NEW
Set up an appointment with Dr. Lopez,APPT_NEW
Book me with Dr. Martinez,APPT_NEW
I need a primary care appointment,APPT_NEW
looking for ophthalmology,APPT_NEW
schedule allergy,APPT_NEW
New appointment for physical therapy,APPT_NEW
I’d like to see a gynecology specialist,APPT_NEW
I need a oncology appointment,APPT_NEW
