text,label
Please help me reschedule,APPT_RESCHEDULE
I need toxchange my appointment time,APPT_RESCHEDULE
I need to change my appointment time,APPT_RESCHEDULE
I want to reschoeduae my appt,APPT_RESCHEDULE
I need tokshift my appointment,APPT_RESCHEDULE
I'd like to movoe my appointment,APPT_RESCHEDULE
Helep me rpschedule the appointment,APPT_RESCHEDULE
I need to change my appointment time,APPT_RESCHEDULE
I'd alike to move my apeointment,APPT_RESCHEDULE
Can I reschedule an appointment?,APPT_RESCHEDULE
I need to shift my appointment,APPT_RESCHEDULE
I need to reschedule my appointment,APPT_RESCHEDULE
I'd like to reschedule please,APPT_RESCHEDULE
I need to chazge my appointment time,APPT_RESCHEDULE
Help me reschedule the appointment,APPT_RESCHEDULE
I'd liake to move my appointment,APPT_RESCHEDULE
Can I reschedule an appointment?,APPT_RESCHEDULE
eI'd like to reschedule please,APPT_RESCHEDULE
I need to shift dy appointment,APPT_RESCHEDULE
I'd like to reschedule please,APPT_RESCHEDULE
I want to reschedule my appt,APPT_RESCHEDULE
I'd like to reschedule please,APPT_RESCHEDULE
I needesto shift my appointment,APPT_RESCHEDULE
I'd like to move omy appoiniment,APPT_RESCHEDULE
Can I reschedule an apxointment?,APPT_RESCHEDULE
I need to reschediule myyappointment,APPT_RESCHEDULE
Can we move my appointment?,APPT_RESCHEDULE
Help me reschedulevthe appointment,APPT_RESCHEDULE
Please help me reschetule,APPT_RESCHEDULE
I'd like to reschedule please,APPT_RESCHEDULE
I need to reschedule my appointment,APPT_RESCHEDULE
Help me reschedule the appoaintment,APPT_RESCHEDULE
I need to reschedule my appointment,APPT_RESCHEDULE
I want to reschedolee my appt,APPT_RESCHEDULE
I'd like to reschedule please,APPT_RESCHEDULE
I't like to reschedule please,APPT_RESCHEDULE
I need to reschedule my appointmenb,APPT_RESCHEDULE
I'd like to reschedple please,APPT_RESCHEDULE
Plsase help me reschedule,APPT_RESCHEDULE
I want uto reschedule my appt,APPT_RESCHEDULE
I'd likoe to move my appointment,APPT_RESCHEDULE
I need to changea my appointment tgme,APPT_RESCHEDULE
I'd like to move my appointment,APPT_RESCHEDULE
I n;ed to change my appointment time,APPT_RESCHEDULE
Can wie move my appointment?,APPT_RESCHEDULE
wan we move my appointment?,APPT_RESCHEDULE
I need to reschedule my apiointment,APPT_RESCHEDULE
Can we move my appoointment?,APPT_RESCHEDULE
Please help me eeschediule,APPT_RESCHEDULE
I'd lmke to move my appointment,APPT_RESCHEDULE
Pulease help me seschedule,APPT_RESCHEDULE
I need to shifti my appoincment,APPT_RESCHEDULE
Help me reschedule the appointmeng,APPT_RESCHEDULE
uCan we move my appointment?,APPT_RESCHEDULE
I need to reschaedule my appointment,APPT_RESCHEDULE
I'd like to reschedule pleasa,APPT_RESCHEDULE
Please help me reschedule,APPT_RESCHEDULE
Can I reuschedule an apponntment?,APPT_RESCHEDULE
I'd like to move my appointment,APPT_RESCHEDULE
I need to change my appointment time,APPT_RESCHEDULE
I want to reschezule my appt,APPT_RESCHEDULE
Can I reschedule an appointment?,APPT_RESCHEDULE
Can I reschedule an apupointment?,APPT_RESCHEDULE
I need to change my appointment time,APPT_RESCHEDULE
Please help me reschedule,APPT_RESCHEDULE
I'd like to reschedule please,APPT_RESCHEDULE
Can I reschedule an appointment?,APPT_RESCHEDULE
Caun we move wy appointment?,APPT_RESCHEDULE
Caw I rescheudule an appointment?,APPT_RESCHEDULE
Please help me rescheduqe,APPT_RESCHEDULE
I want to rescheduale my appt,APPT_RESCHEDULE
Please help me reeschedule,APPT_RESCHEDULE
I need to change my appointment time,APPT_RESCHEDULE
Can we move my appointmentg,APPT_RESCHEDULE
I want to reschedvle moy appt,APPT_RESCHEDULE
I'de like to move my appointment,APPT_RESCHEDULE
Please help me reschedule,APPT_RESCHEDULE
Can we move moy appointmint?,APPT_RESCHEDULE
I want to rescheduls my appt,APPT_RESCHEDULE
I need to shift my appointmen;,APPT_RESCHEDULE
I'd like to move my appointment,APPT_RESCHEDULE
I need to shift my appointment,APPT_RESCHEDULE
I need uto shifo my appointment,APPT_RESCHEDULE
I want to rescihedule my appt,APPT_RESCHEDULE
Help me reschedule the appointment,APPT_RESCHEDULE
Can I reschedule an appointment?,APPT_RESCHEDULE
I need to shift my appointment,APPT_RESCHEDULE
I need to shift my appointment,APPT_RESCHEDULE
I need to changi my appointment time,APPT_RESCHEDULE
I'd like toe move my appointment,APPT_RESCHEDULE
Help me reschedule the appointment,APPT_RESCHEDULE
Can we move my appointment?,APPT_RESCHEDULE
Help me reschedule the appointment,APPT_RESCHEDULE
Can I resckuedule an appointment?,APPT_RESCHEDULE
I'd like to reschedule pleaase,APPT_RESCHEDULE
I'd like to reschedule please,APPT_RESCHEDULE
Cean we movz my appointment?,APPT_RESCHEDULE
I need to reschedule my appointment,APPT_RESCHEDULE
I'd like to rescuhedule please,APPT_RESCHEDULE
Help me reschedule the appointment,APPT_RESCHEDULE
