text,label
if you say so.,OTHER
I’ll get back to you ...,OTHER
i think so ...,OTHER
incorrect,OTHER
Correct!,OTHER
i guess so,OTHER
ok!,OTHER
Yes ...,OTHER
All set.,OTHER
Sure.,OTHER
Hmm!,OTHER
I’m thinking!,OTHER
I don’t think so,OTHER
Not really,OTHER
Great,OTHER
Alright!,OTHER
Hmm ...,OTHER
wait a second,OTHER
Right.,OTHER
i’m thinking,OTHER
That is correct!,OTHER
correct ...,OTHER
I’ll get back to you ...,OTHER
Ok!,OTHER
That won’t work,OTHER
hmm,OTHER
doesn’t work ...,OTHER
doesn’t work.,OTHER
exactly.,OTHER
Okay!,OTHER
alright!,OTHER
Yeah!,OTHER
not sure about that!,OTHER
That is not correct ...,OTHER
that’s fine ...,OTHER
nah.,OTHER
Perfect,OTHER
Let me think!,OTHER
hold on.,OTHER
I guess so ...,OTHER
incorrect,OTHER
Perfect ...,OTHER
Hold on ...,OTHER
Yeah!,OTHER
i guess so,OTHER
Possibly,OTHER
yep!,OTHER
wait a second,OTHER
Incorrect ...,OTHER
Got it!,OTHER
hold on,OTHER
that depends.,OTHER
one sec ...,OTHER
Hmm.,OTHER
alright then ...,OTHER
i don’t think so ...,OTHER
that depends,OTHER
That’s fine,OTHER
not really ...,OTHER
Right,OTHER
i think so,OTHER
Nope.,OTHER
Can you repeat that.,OTHER
i’m not sure ...,OTHER
Cool,OTHER
Maybe later!,OTHER
Incorrect ...,OTHER
not sure about that.,OTHER
Perfect ...,OTHER
affirmative,OTHER
not really.,OTHER
Sounds about right.,OTHER
I don’t think so,OTHER
Works for me,OTHER
Fine by me!,OTHER
Yes.,OTHER
alright ...,OTHER
Makes sense.,OTHER
doesn’t work ...,OTHER
no.,OTHER
No.,OTHER
That is not correct!,OTHER
Perfect!,OTHER
That won’t work!,OTHER
incorrect ...,OTHER
Doesn’t work,OTHER
looks good ...,OTHER
Perfect.,OTHER
I’ll get back to you.,OTHER
Not sure yet,OTHER
Nope ...,OTHER
Potentially,OTHER
ok.,OTHER
cool ...,OTHER
That is correct.,OTHER
Wait a second,OTHER
Let me think ...,OTHER
Yes.,OTHER
That is not correct.,OTHER
Let me think!,OTHER
Yeah ...,OTHER
that works,OTHER
All set.,OTHER
that works ...,OTHER
potentially.,OTHER
Yep.,OTHER
I don’t think so ...,OTHER
No ...,OTHER
Nope!,OTHER
Hmm.,OTHER
got it,OTHER
Potentially,OTHER
Fine by me ...,OTHER
I don’t know.,OTHER
Great!,OTHER
probably.,OTHER
right ...,OTHER
i’m not sure.,OTHER
that works!,OTHER
ok,OTHER
Right.,OTHER
Looks good!,OTHER
that’s fine ...,OTHER
That works!,OTHER
Alright ...,OTHER
Doesn’t work,OTHER
Yes.,OTHER
perfect.,OTHER
That’s fine,OTHER
I think so ...,OTHER
Okay,OTHER
Fine by me.,OTHER
Wait a second.,OTHER
works for me.,OTHER
sounds good ...,OTHER
exactly,OTHER
i don’t think so,OTHER
Nah!,OTHER
No!,OTHER
Perfect,OTHER
I’m not sure.,OTHER
Nah!,OTHER
incorrect!,OTHER
no.,OTHER
Right,OTHER
that won’t work,OTHER
Probably ...,OTHER
Alright then ...,OTHER
cool.,OTHER
Yes!,OTHER
Sounds about right,OTHER
okay,OTHER
that’s fine,OTHER
that is correct.,OTHER
Probably!,OTHER
Yeah!,OTHER
Hold on!,OTHER
i guess so!,OTHER
Possibly.,OTHER
Yeah!,OTHER
Yep.,OTHER
can you repeat that!,OTHER
hold on ...,OTHER
Not sure about that ...,OTHER
Correct.,OTHER
can you repeat that.,OTHER
I’m thinking!,OTHER
yeah,OTHER
I guess so!,OTHER
Alright!,OTHER
one sec!,OTHER
Yeah ...,OTHER
That is not correct!,OTHER
Makes sense!,OTHER
Affirmative.,OTHER
hmm!,OTHER
Potentially,OTHER
Understood,OTHER
right!,OTHER
Understood!,OTHER
that works.,OTHER
Hmm!,OTHER
maybe later ...,OTHER
Great.,OTHER
That’s fine,OTHER
i don’t think so ...,OTHER
Perfect ...,OTHER
That depends ...,OTHER
correct!,OTHER
Incorrect!,OTHER
Sounds good!,OTHER
not sure about that!,OTHER
Alright!,OTHER
Hold on,OTHER
Cool.,OTHER
Probably!,OTHER
Potentially,OTHER
maybe later ...,OTHER
That works!,OTHER
Fine by me,OTHER
One sec!,OTHER
works for me,OTHER
sweet ...,OTHER
Give me a moment.,OTHER
Possibly,OTHER
possibly ...,OTHER
Makes sense,OTHER
Understood ...,OTHER
Probably,OTHER
Yes,OTHER
Correct.,OTHER
sounds good!,OTHER
Sure ...,OTHER
sweet!,OTHER
I think so.,OTHER
That is not correct!,OTHER
not sure yet.,OTHER
Alright!,OTHER
Let me think,OTHER
Cool!,OTHER
potentially!,OTHER
Makes sense ...,OTHER
Not sure about that!,OTHER
That’s fine,OTHER
I’m not sure,OTHER
No ...,OTHER
Alright then!,OTHER
sure,OTHER
one sec!,OTHER
I’ll get back to you!,OTHER
maybe later ...,OTHER
correct.,OTHER
not really ...,OTHER
I guess so.,OTHER
sweet!,OTHER
Sounds good.,OTHER
No ...,OTHER
Hold on ...,OTHER
That won’t work!,OTHER
probably.,OTHER
Let me think ...,OTHER
Nah!,OTHER
correct,OTHER
one sec!,OTHER
Ok.,OTHER
possibly!,OTHER
Wait a second!,OTHER
Not really ...,OTHER
not really.,OTHER
Great ...,OTHER
potentially,OTHER
Not sure yet ...,OTHER
I’ll get back to you.,OTHER
I guess so!,OTHER
All set!,OTHER
not sure about that!,OTHER
Fine by me ...,OTHER
Wait a second ...,OTHER
Not sure about that.,OTHER
I guess so ...,OTHER
Fine by me!,OTHER
That is correct!,OTHER
I think so ...,OTHER
that’s fine.,OTHER
Perfect.,OTHER
Let me think.,OTHER
yeah ...,OTHER
Wait a second ...,OTHER
I’ll get back to you ...,OTHER
Not sure about that,OTHER
doesn’t work.,OTHER
exactly ...,OTHER
ok ...,OTHER
yes!,OTHER
That’s fine ...,OTHER
No ...,OTHER
that works.,OTHER
That’s fine,OTHER
makes sense ...,OTHER
Exactly ...,OTHER
wait a second ...,OTHER
hmm!,OTHER
Not sure about that!,OTHER
One sec.,OTHER
Doesn’t work ...,OTHER
Maybe later,OTHER
alright,OTHER
Let me think!,OTHER
possibly,OTHER
Give me a moment ...,OTHER
I’m thinking,OTHER
yeah ...,OTHER
not really ...,OTHER
nah.,OTHER
that is correct,OTHER
Got it.,OTHER
let me think,OTHER
i guess so ...,OTHER
i’ll get back to you,OTHER
alright then,OTHER
