text,label
Why is it that my name?,OTHER
Is it true that why the sky is blue?,OTHER
Do you understand something random?,OTHER
Why is it that about animals?,OTHER
Do you think why cats purr?,OTHER
Could you remind me the time?,OTHER
Do you know if you like music?,OTHER
Could you explain why the sky is blue?,OTHER
Should I what you had for lunch?,OTHER
Do you know about animals?,OTHER
Could you explain about animals?,OTHER
Could you remind me why the sky is blue?,OTHER
How come why cats purr?,OTHER
Is it true that my name?,OTHER
Are you able to your favorite color?,OTHER
What do you think about about movies?,OTHER
How do you feel about a secret?,OTHER
What do you think about your opinion?,OTHER
Do you think what you mean?,OTHER
Why is it that the meaning of life?,OTHER
Would you what you had for lunch if I asked?,OTHER
Is it true that the time?,OTHER
How come about animals?,OTHER
Why is it that what you mean?,OTHER
Do you think about animals?,OTHER
Can I ask you what you had for lunch?,OTHER
Would you why cats purr if I asked?,OTHER
Could you explain if you like music?,OTHER
Can you tell me why the sky is blue?,OTHER
Can I ask you if you like music?,OTHER
Do you understand your opinion?,OTHER
Are you sure about movies?,OTHER
How come the meaning of life?,OTHER
Are you able to the meaning of life?,OTHER
Would you a secret if I asked?,OTHER
Is it true that if you like music?,OTHER
Have you ever how this works?,OTHER
Is there a reason why the sky is blue?,OTHER
Are you able to what day it is?,OTHER
Are you sure about movies?,OTHER
Is there a reason why the sky is blue?,OTHER
What do you think about the time?,OTHER
Do you understand the time?,OTHER
What do you think about what you mean?,OTHER
Is it true that if you like music?,OTHER
Could you explain why cats purr?,OTHER
What do you think about a secret?,OTHER
Do you remember what you mean?,OTHER
How come something random?,OTHER
Is it true that something random?,OTHER
Do you understand about animals?,OTHER
Is there a reason about movies?,OTHER
Why would someone your favorite color?,OTHER
Why would someone what you mean?,OTHER
Would you why the sky is blue if I asked?,OTHER
How do you feel about if robots dream?,OTHER
Do you remember if you like music?,OTHER
Can you tell me your opinion?,OTHER
How do you feel about how this works?,OTHER
Could you remind me what you had for lunch?,OTHER
Do you think what you mean?,OTHER
Are you sure what you had for lunch?,OTHER
How come if robots dream?,OTHER
Is it true that about animals?,OTHER
Do you know your opinion?,OTHER
Is there a reason about movies?,OTHER
What do you think about your opinion?,OTHER
Can I ask you your favorite color?,OTHER
Are you able to what day it is?,OTHER
Do you know about movies?,OTHER
Should I how this works?,OTHER
Should I your opinion?,OTHER
Can I ask you if robots dream?,OTHER
Have you ever a secret?,OTHER
How do you feel about the meaning of life?,OTHER
Are you able to about animals?,OTHER
Should I my name?,OTHER
Have you ever why people laugh?,OTHER
Do you remember my name?,OTHER
Why is it that the meaning of life?,OTHER
Can I ask you why the sky is blue?,OTHER
Can you tell me why the sky is blue?,OTHER
Why would someone if you like music?,OTHER
Do you think if you're listening?,OTHER
Do you think about animals?,OTHER
How do you feel about something random?,OTHER
Do you remember about animals?,OTHER
Are you able to about movies?,OTHER
Should I what you had for lunch?,OTHER
Could you remind me a secret?,OTHER
Is there a reason a secret?,OTHER
Can I ask you what you mean?,OTHER
Would you what day it is if I asked?,OTHER
Should I what day it is?,OTHER
Why is it that why the sky is blue?,OTHER
Do you understand if you like music?,OTHER
What do you think about my name?,OTHER
Why would someone about animals?,OTHER
Do you understand why cats purr?,OTHER
Do you understand my name?,OTHER
Do you think the time?,OTHER
Do you understand if you like music?,OTHER
Can you tell me why people laugh?,OTHER
Do you think if robots dream?,OTHER
Do you understand about movies?,OTHER
Do you remember a secret?,OTHER
Is there a reason something random?,OTHER
Why would someone why cats purr?,OTHER
Do you remember why the sky is blue?,OTHER
Do you remember your favorite color?,OTHER
Could you explain your opinion?,OTHER
Why is it that your favorite color?,OTHER
