text,label
Something is wrong with my leg,OTHER
My wrist just started dizziness,OTHER
I can't move my arm,OTHER
Something is wrong with my neck,OTHER
I'm having trouble with my foot,OTHER
My eye is throbbing,OTHER
Something is wrong with my hip,OTHER
I have extreme tightness,OTHER
My shoulder is bruised,OTHER
Something is wrong with my arm,OTHER
"I think something is wrong internally, I feel bruised",OTHER
I fell and now I can't move my skull,OTHER
I'm having trouble with my arm,OTHER
I have extreme tightness,OTHER
I broke my hip,OTHER
I'm experiencing severe pressure,OTHER
I fell and now I can't move my arm,OTHER
I fell and now I can't move my skull,OTHER
I fell and now I can't move my knee,OTHER
I fell and now I can't move my leg,OTHER
My arm just started tremors,OTHER
Something is wrong with my rib,OTHER
I have extreme pain,OTHER
I suddenly feel locked up,OTHER
I suddenly feel uncontrollable pain,OTHER
My hip just started pain,OTHER
My foot is uncontrollable pain,OTHER
My foot just started pressure,OTHER
Something is wrong with my hip,OTHER
I fell and now I can't move my shoulder,OTHER
I'm having trouble with my leg,OTHER
I suddenly feel bruised,OTHER
I can't move my leg,OTHER
My neck just started tightness,OTHER
I was injured and now my knee is locked up,OTHER
My knee is swollen,OTHER
Something is wrong with my neck,OTHER
I was injured and now my neck is bruised,OTHER
My back just started nausea,OTHER
I suddenly feel extremely weak,OTHER
I can't see,OTHER
"I think something is wrong internally, I feel uncontrollable pain",OTHER
I think I have a deep cut,OTHER
I dislocated my jaw,OTHER
I can't stand up,OTHER
I'm having trouble with my hip,OTHER
I can't stand up,OTHER
I feel stiff all over,OTHER
I suddenly feel sharp pain,OTHER
I'm having trouble with my hand,OTHER
I have extreme pressure,OTHER
I fell and now I can't move my wrist,OTHER
I can't move my leg,OTHER
My wrist is bruised,OTHER
My neck is extremely weak,OTHER
I'm experiencing severe pain,OTHER
I'm experiencing severe nausea,OTHER
I can't move my arm,OTHER
I fell and now I can't move my hip,OTHER
My hand just started spasms,OTHER
I feel locked up all over,OTHER
I fell and now I can't move my ankle,OTHER
I have extreme burning,OTHER
I woke up and my eye feels numb,OTHER
"I think something is wrong internally, I feel sharp pain",OTHER
"I think something is wrong internally, I feel burning",OTHER
I have extreme cramps,OTHER
I can't move my arm,OTHER
My knee is numb,OTHER
I think I have a deep cut,OTHER
I have extreme dizziness,OTHER
My rib just started spasms,OTHER
I can't walk,OTHER
"I think something is wrong internally, I feel swollen",OTHER
My arm is burning,OTHER
"I think something is wrong internally, I feel bruised",OTHER
My ankle is throbbing,OTHER
I think I have a deep cut,OTHER
I have extreme tightness,OTHER
I fell and now I can't move my skull,OTHER
I can't move my leg,OTHER
I twisted my wrist,OTHER
I have extreme burning,OTHER
I'm having trouble with my neck,OTHER
I think I have a deep cut,OTHER
I fell and now I can't move my jaw,OTHER
I have extreme pain,OTHER
I suddenly feel throbbing,OTHER
I suddenly feel uncontrollable pain,OTHER
Something is wrong with my eye,OTHER
I woke up and my ankle feels uncontrollable pain,OTHER
My eye just started nausea,OTHER
Something is wrong with my leg,OTHER
I think I have a hairline fracture,OTHER
My jaw is sharp pain,OTHER
I fell and now I can't move my hip,OTHER
I feel bruised all over,OTHER
I fell and now I can't move my eye,OTHER
Something is wrong with my knee,OTHER
I'm experiencing severe cramps,OTHER
My jaw just started bleeding,OTHER
"I think something is wrong internally, I feel numb",OTHER
My knee just started tremors,OTHER
I think I have a deep cut,OTHER
I twisted my neck,OTHER
I'm having trouble with my foot,OTHER
My rib just started nausea,OTHER
I was injured and now my back is numb,OTHER
I think I have a concussion,OTHER
I have extreme pain,OTHER
I was injured and now my wrist is swollen,OTHER
I feel numb all over,OTHER
I sprained my hand,OTHER
My foot is throbbing,OTHER
I think I have a concussion,OTHER
I can't move my leg,OTHER
I broke my eye,OTHER
I think I have a serious burn,OTHER
I'm having trouble with my foot,OTHER
I injured my rib,OTHER
I fractured my back,OTHER
I woke up and my jaw feels burning,OTHER
I feel uncontrollable pain all over,OTHER
I'm experiencing severe tremors,OTHER
I can't stand up,OTHER
I feel sharp pain all over,OTHER
I suddenly feel swollen,OTHER
I was injured and now my ankle is bruised,OTHER
My rib just started pressure,OTHER
I have extreme tightness,OTHER
I have extreme cramps,OTHER
I have extreme tremors,OTHER
I feel stiff all over,OTHER
"I think something is wrong internally, I feel numb",OTHER
I feel throbbing all over,OTHER
I dislocated my shoulder,OTHER
Something is wrong with my ankle,OTHER
My rib just started spasms,OTHER
My jaw is swollen,OTHER
My rib just started dizziness,OTHER
I have extreme bleeding,OTHER
I woke up and my hand feels sharp pain,OTHER
I can't move my arm,OTHER
I think I have a hairline fracture,OTHER
I think I have a deep cut,OTHER
I woke up and my knee feels sharp pain,OTHER
I fell and now I can't move my neck,OTHER
My shoulder is stiff,OTHER
My leg just started spasms,OTHER
I have extreme dizziness,OTHER
I think I have a serious burn,OTHER
I have extreme pain,OTHER
I feel numb all over,OTHER
I woke up and my knee feels sharp pain,OTHER
I think I have a severe sprain,OTHER
My skull is stiff,OTHER
I woke up and my leg feels locked up,OTHER
Something is wrong with my arm,OTHER
My hip is sharp pain,OTHER
I suddenly feel swollen,OTHER
I can't walk,OTHER
My skull just started spasms,OTHER
My knee is locked up,OTHER
Something is wrong with my foot,OTHER
I have extreme nausea,OTHER
I think I have a severe sprain,OTHER
I fell and now I can't move my arm,OTHER
I feel numb all over,OTHER
Something is wrong with my foot,OTHER
I think I have a severe sprain,OTHER
I think I have a serious burn,OTHER
Something is wrong with my hip,OTHER
My back is swollen,OTHER
I feel swollen all over,OTHER
I think I have a deep cut,OTHER
I think I have a concussion,OTHER
I suddenly feel throbbing,OTHER
I suddenly feel locked up,OTHER
I have extreme bleeding,OTHER
My jaw is throbbing,OTHER
I was injured and now my shoulder is locked up,OTHER
I have extreme pressure,OTHER
I twisted my neck,OTHER
I feel uncontrollable pain all over,OTHER
Something is wrong with my jaw,OTHER
I can't walk,OTHER
I'm having trouble with my shoulder,OTHER
I think I have a deep cut,OTHER
I'm having trouble with my back,OTHER
I think I have a concussion,OTHER
I have extreme bleeding,OTHER
I suddenly feel extremely weak,OTHER
I fractured my jaw,OTHER
I was injured and now my knee is locked up,OTHER
I have extreme nausea,OTHER
I have extreme pain,OTHER
I think I have a serious burn,OTHER
Something is wrong with my back,OTHER
I feel throbbing all over,OTHER
My shoulder is extremely weak,OTHER
I have extreme tremors,OTHER
I woke up and my foot feels locked up,OTHER
"I think something is wrong internally, I feel extremely weak",OTHER
I think I have a hairline fracture,OTHER
I woke up and my shoulder feels uncontrollable pain,OTHER
I can't move my arm,OTHER
I can't move my arm,OTHER
I'm experiencing severe pain,OTHER
I'm experiencing severe tightness,OTHER
I'm experiencing severe spasms,OTHER
I broke my leg,OTHER
I woke up and my knee feels swollen,OTHER
I broke my skull,OTHER
I fractured my rib,OTHER
I think I have a serious burn,OTHER
I feel bruised all over,OTHER
I fell and now I can't move my rib,OTHER
