text,label
"I'm out of Nexium, need a refill",RX_REFILL
I need a refill on my Prednisone,RX_REFILL
"I'm out of Losartan, need a refill",RX_REFILL
I'd like to renew my omeprazole,RX_REFILL
Can I get some more Furosemide,RX_REFILL
I need a refill on my Montelukast,RX_REFILL
Please refill my esomeprazole prescription,RX_REFILL
Need to top up my Montelukast,RX_REFILL
Can I get more atorvastatin,RX_REFILL
Please refill my Insulin prescription,RX_REFILL
Please refill my omeprazole prescription,RX_REFILL
Can I have another supply of albuterol,RX_REFILL
Please refill my fluoxetine prescription,RX_REFILL
Need to top up my Prozac,RX_REFILL
Requesting refill for levothyroxine,RX_REFILL
I'd like to renew my Amlodipine,RX_REFILL
I need a refill on my Losartan,RX_REFILL
Please refill my Glipizide prescription,RX_REFILL
Can I have another supply of Gabapentin,RX_REFILL
Need to top up my Omeprazole,RX_REFILL
"I'm out of Losartan, need a refill",RX_REFILL
I'd like to renew my Prilosec,RX_REFILL
Can I have another supply of Propranolol,RX_REFILL
Requesting refill for escitalopram,RX_REFILL
Requesting refill for rosuvastatin,RX_REFILL
Requesting refill for Lexapro,RX_REFILL
Please refill my Prilosec prescription,RX_REFILL
I'd like to renew my Montelukast,RX_REFILL
I'd like to renew my rosuvastatin,RX_REFILL
Can I get more Prednisone,RX_REFILL
"I'm out of Clopidogrel, need a refill",RX_REFILL
Requesting refill for Prozac,RX_REFILL
Requesting refill for Prozac,RX_REFILL
Can I get more Warfarin,RX_REFILL
"I'm out of Metoprolol, need a refill",RX_REFILL
"I'm out of Prozac, need a refill",RX_REFILL
Refill my Hydrochlorothiazide,RX_REFILL
Refill my Glipizide,RX_REFILL
"I'm out of rosuvastatin, need a refill",RX_REFILL
I'd like to renew my levothyroxine,RX_REFILL
Can I get some more sertraline,RX_REFILL
Can I get more Atorvastatin,RX_REFILL
I need a refill on my atorvastatin,RX_REFILL
Can I get some more Atorvastatin,RX_REFILL
Need to top up my Tamsulosin,RX_REFILL
Refill my Lexapro,RX_REFILL
"I'm out of Furosemide, need a refill",RX_REFILL
Refill my Atorvastatin,RX_REFILL
Can I have another supply of fluoxetine,RX_REFILL
Please refill my Atorvastatin prescription,RX_REFILL
Can I get some more Lipitor,RX_REFILL
Can I get some more Prednisone,RX_REFILL
Can I get more Furosemide,RX_REFILL
Need to top up my Prozac,RX_REFILL
Requesting refill for Hydrochlorothiazide,RX_REFILL
I'd like to renew my albuterol,RX_REFILL
Can I get some more Metoprolol,RX_REFILL
Please refill my atorvastatin prescription,RX_REFILL
I need a refill on my omeprazole,RX_REFILL
I need a refill on my Insulin,RX_REFILL
Requesting refill for Nexium,RX_REFILL
Refill my Prozac,RX_REFILL
Can I have another supply of Hydrochlorothiazide,RX_REFILL
Please refill my Losartan prescription,RX_REFILL
Can I get more sertraline,RX_REFILL
Requesting refill for Clopidogrel,RX_REFILL
Need to top up my atorvastatin,RX_REFILL
I'd like to renew my escitalopram,RX_REFILL
Refill my Gabapentin,RX_REFILL
Can I get more omeprazole,RX_REFILL
Need to top up my Nexium,RX_REFILL
Please refill my Crestor prescription,RX_REFILL
Please refill my Crestor prescription,RX_REFILL
Need to top up my Hydrochlorothiazide,RX_REFILL
Can I get more atorvastatin,RX_REFILL
Requesting refill for omeprazole,RX_REFILL
I'd like to renew my Amoxicillin,RX_REFILL
Refill my Propranolol,RX_REFILL
Please refill my Zoloft prescription,RX_REFILL
Can I get some more Tamsulosin,RX_REFILL
Requesting refill for Omeprazole,RX_REFILL
Please refill my Montelukast prescription,RX_REFILL
Can I get more albuterol,RX_REFILL
Refill my Lexapro,RX_REFILL
Can I get some more Omeprazole,RX_REFILL
I need a refill on my Lisinopril,RX_REFILL
"I'm out of Atorvastatin, need a refill",RX_REFILL
Please refill my Lexapro prescription,RX_REFILL
Please refill my atorvastatin prescription,RX_REFILL
Requesting refill for Synthroid,RX_REFILL
Can I have another supply of Clopidogrel,RX_REFILL
Can I get some more Omeprazole,RX_REFILL
Please refill my Nexium prescription,RX_REFILL
Please refill my Losartan prescription,RX_REFILL
"I'm out of Prozac, need a refill",RX_REFILL
Refill my Gabapentin,RX_REFILL
Requesting refill for Ventolin,RX_REFILL
I'd like to renew my Glipizide,RX_REFILL
Refill my sertraline,RX_REFILL
I'd like to renew my Lisinopril,RX_REFILL
I need a refill on my omeprazole,RX_REFILL
Requesting refill for rosuvastatin,RX_REFILL
Requesting refill for Atorvastatin,RX_REFILL
Please refill my Losartan prescription,RX_REFILL
Can I get more rosuvastatin,RX_REFILL
Please refill my Ventolin prescription,RX_REFILL
Refill my Prozac,RX_REFILL
Please refill my Lipitor prescription,RX_REFILL
Can I have another supply of Tamsulosin,RX_REFILL
Need to top up my Furosemide,RX_REFILL
I need a refill on my Amoxicillin,RX_REFILL
"I'm out of esomeprazole, need a refill",RX_REFILL
Can I get some more Lexapro,RX_REFILL
Can I get some more levothyroxine,RX_REFILL
Need to top up my Warfarin,RX_REFILL
Can I get some more Clopidogrel,RX_REFILL
Can I get more Synthroid,RX_REFILL
Please refill my Clopidogrel prescription,RX_REFILL
Refill my Lisinopril,RX_REFILL
I'd like to renew my escitalopram,RX_REFILL
Refill my Atorvastatin,RX_REFILL
"I'm out of Lisinopril, need a refill",RX_REFILL
Can I get some more Lipitor,RX_REFILL
Refill my escitalopram,RX_REFILL
"I'm out of albuterol, need a refill",RX_REFILL
Need to top up my Montelukast,RX_REFILL
Requesting refill for atorvastatin,RX_REFILL
Can I have another supply of Lipitor,RX_REFILL
I'd like to renew my escitalopram,RX_REFILL
Refill my Hydrochlorothiazide,RX_REFILL
Requesting refill for Warfarin,RX_REFILL
I need a refill on my Losartan,RX_REFILL
Requesting refill for Hydrochlorothiazide,RX_REFILL
Requesting refill for Amlodipine,RX_REFILL
Please refill my omeprazole prescription,RX_REFILL
Can I get more escitalopram,RX_REFILL
Need to top up my Lisinopril,RX_REFILL
Requesting refill for atorvastatin,RX_REFILL
I need a refill on my escitalopram,RX_REFILL
Need to top up my Crestor,RX_REFILL
"I'm out of albuterol, need a refill",RX_REFILL
Please refill my escitalopram prescription,RX_REFILL
Can I get some more Nexium,RX_REFILL
Need to top up my Prilosec,RX_REFILL
Can I get more albuterol,RX_REFILL
Please refill my escitalopram prescription,RX_REFILL
Can I get some more Metformin,RX_REFILL
I need a refill on my rosuvastatin,RX_REFILL
Can I get some more Montelukast,RX_REFILL
Requesting refill for Ventolin,RX_REFILL
Can I get some more Synthroid,RX_REFILL
Refill my Prozac,RX_REFILL
Requesting refill for Prozac,RX_REFILL
Can I get some more Clopidogrel,RX_REFILL
I'd like to renew my Omeprazole,RX_REFILL
I'd like to renew my Crestor,RX_REFILL
Can I get some more Zoloft,RX_REFILL
Can I get some more Ventolin,RX_REFILL
Refill my Clopidogrel,RX_REFILL
Refill my esomeprazole,RX_REFILL
Can I have another supply of sertraline,RX_REFILL
Can I have another supply of Amlodipine,RX_REFILL
I need a refill on my Spironolactone,RX_REFILL
I'd like to renew my Zoloft,RX_REFILL
Please refill my Warfarin prescription,RX_REFILL
Requesting refill for omeprazole,RX_REFILL
Can I have another supply of Spironolactone,RX_REFILL
Can I have another supply of Ventolin,RX_REFILL
Refill my Metoprolol,RX_REFILL
I need a refill on my Warfarin,RX_REFILL
Can I get more Warfarin,RX_REFILL
Can I get more Lipitor,RX_REFILL
Need to top up my Gabapentin,RX_REFILL
"I'm out of Gabapentin, need a refill",RX_REFILL
Can I get some more atorvastatin,RX_REFILL
Requesting refill for Prozac,RX_REFILL
Can I have another supply of Gabapentin,RX_REFILL
I'd like to renew my Atorvastatin,RX_REFILL
Refill my Clopidogrel,RX_REFILL
Can I get more Nexium,RX_REFILL
I'd like to renew my Clopidogrel,RX_REFILL
Requesting refill for Furosemide,RX_REFILL
Can I have another supply of Atorvastatin,RX_REFILL
Requesting refill for Crestor,RX_REFILL
I'd like to renew my rosuvastatin,RX_REFILL
Please refill my Furosemide prescription,RX_REFILL
"I'm out of Insulin, need a refill",RX_REFILL
I'd like to renew my Spironolactone,RX_REFILL
I need a refill on my Gabapentin,RX_REFILL
Need to top up my Ventolin,RX_REFILL
Please refill my Hydrochlorothiazide prescription,RX_REFILL
Requesting refill for Prozac,RX_REFILL
Need to top up my Warfarin,RX_REFILL
I'd like to renew my Amoxicillin,RX_REFILL
Requesting refill for albuterol,RX_REFILL
Need to top up my Ventolin,RX_REFILL
I'd like to renew my atorvastatin,RX_REFILL
I'd like to renew my Metoprolol,RX_REFILL
"I'm out of Amoxicillin, need a refill",RX_REFILL
I'd like to renew my Lisinopril,RX_REFILL
Can I have another supply of Glipizide,RX_REFILL
Requesting refill for Zoloft,RX_REFILL
Can I get some more Warfarin,RX_REFILL
Can I get more levothyroxine,RX_REFILL
"I'm out of Lipitor, need a refill",RX_REFILL
Can I get more Synthroid,RX_REFILL
Requesting refill for sertraline,RX_REFILL
Can I have another supply of Prozac,RX_REFILL
Please refill my Atorvastatin prescription,RX_REFILL
Can I get more fluoxetine,RX_REFILL
I need a refill on my Prilosec,RX_REFILL
Can I have another supply of Amoxicillin,RX_REFILL
I'd like to renew my Glipizide,RX_REFILL
Can I have another supply of Insulin,RX_REFILL
Can I get more escitalopram,RX_REFILL
Requesting refill for Prozac,RX_REFILL
Can I get some more Amoxicillin,RX_REFILL
I need a refill on my Ventolin,RX_REFILL
Please refill my Gabapentin prescription,RX_REFILL
Can I have another supply of escitalopram,RX_REFILL
I'd like to renew my albuterol,RX_REFILL
I need a refill on my Hydrochlorothiazide,RX_REFILL
Please refill my Glipizide prescription,RX_REFILL
Can I have another supply of Amoxicillin,RX_REFILL
Please refill my Amlodipine prescription,RX_REFILL
I need a refill on my Ventolin,RX_REFILL
"I'm out of fluoxetine, need a refill",RX_REFILL
Refill my Clopidogrel,RX_REFILL
I'd like to renew my rosuvastatin,RX_REFILL
Requesting refill for levothyroxine,RX_REFILL
Please refill my Crestor prescription,RX_REFILL
Requesting refill for omeprazole,RX_REFILL
I need a refill on my Tamsulosin,RX_REFILL
"I'm out of levothyroxine, need a refill",RX_REFILL
Can I get some more Spironolactone,RX_REFILL
"I'm out of albuterol, need a refill",RX_REFILL
I need a refill on my Warfarin,RX_REFILL
Can I get some more Amlodipine,RX_REFILL
I'd like to renew my albuterol,RX_REFILL
I'd like to renew my Spironolactone,RX_REFILL
Please refill my Metformin prescription,RX_REFILL
"I'm out of Amlodipine, need a refill",RX_REFILL
Requesting refill for Omeprazole,RX_REFILL
I need a refill on my Clopidogrel,RX_REFILL
Can I have another supply of Insulin,RX_REFILL
I need a refill on my Spironolactone,RX_REFILL
Can I get more Ventolin,RX_REFILL
I need a refill on my Lipitor,RX_REFILL
I need a refill on my escitalopram,RX_REFILL
Can I get more Lexapro,RX_REFILL
Refill my albuterol,RX_REFILL
"I'm out of Clopidogrel, need a refill",RX_REFILL
Please refill my fluoxetine prescription,RX_REFILL
Can I get more Warfarin,RX_REFILL
"I'm out of Amlodipine, need a refill",RX_REFILL
"I'm out of Lipitor, need a refill",RX_REFILL
Can I get some more Zoloft,RX_REFILL
Can I have another supply of atorvastatin,RX_REFILL
I'd like to renew my Prozac,RX_REFILL
Please refill my Propranolol prescription,RX_REFILL
Can I have another supply of Montelukast,RX_REFILL
Can I get some more Amlodipine,RX_REFILL
Can I get some more Prozac,RX_REFILL
Please refill my Synthroid prescription,RX_REFILL
I'd like to renew my Ventolin,RX_REFILL
Can I get more atorvastatin,RX_REFILL
Please refill my escitalopram prescription,RX_REFILL
I'd like to renew my Prilosec,RX_REFILL
Requesting refill for Warfarin,RX_REFILL
I'd like to renew my levothyroxine,RX_REFILL
Please refill my Furosemide prescription,RX_REFILL
I need a refill on my Nexium,RX_REFILL
I'd like to renew my Montelukast,RX_REFILL
I'd like to renew my albuterol,RX_REFILL
Can I have another supply of omeprazole,RX_REFILL
Can I have another supply of Spironolactone,RX_REFILL
Requesting refill for atorvastatin,RX_REFILL
I'd like to renew my Clopidogrel,RX_REFILL
I'd like to renew my Glipizide,RX_REFILL
"I'm out of Montelukast, need a refill",RX_REFILL
I need a refill on my Hydrochlorothiazide,RX_REFILL
Can I get more Montelukast,RX_REFILL
Can I get some more levothyroxine,RX_REFILL
