text,label
I need my presucription filled again,RX_REFILL
Please help me refill my prescriptisn,RX_REFILL
I need more of myjpedicine,RX_REFILL
g need to gyt a irx refill,RX_REFILL
Ipneed a refill on my prescriptiion,RX_REFILL
Please help me reafill my prescription,RX_REFILL
CanzI get a medication refill,RX_REFILL
Please help me refill my prescriptijan,RX_REFILL
I want to request acprescription rkfill,RX_REFILL
I wuanm to request alprescription refill,RX_REFILL
Cqn I get a medication refill,RX_REFILL
I need myhprescription fillead again,RX_REFILL
Please refillfmy meds,RX_REFILL
I wdnt to request a prescription refibl,RX_REFILL
Cano u;send in a refill for mm,RX_REFILL
k need more of my medicine,RX_REFILL
Can u send in a refill fyr me,RX_REFILL
n need to gpt a rx refill,RX_REFILL
I nleud more of my fedicine,RX_REFILL
Can I get a madication reufill,RX_REFILL
Cancyou refill my medicautiol,RX_REFILL
Please refill my medas,RX_REFILL
pan you refill my medication,RX_REFILL
I need a refill on my prescription,RX_REFILL
I need to geq awrx refill,RX_REFILL
I need a refillu on my preseription,RX_REFILL
l need my prescription filled again,RX_REFILL
jlease refill my maeds,RX_REFILL
I need a refill on mk prescription,RX_REFILL
I need to get a rh refigl,RX_REFILL
