text,label
uhh where can i park?!,ADMIN_INFO
uh what insurances do you accept,ADMIN_INFO
uh what time you open tomorrow??,ADMIN_INFO
can you tell me are you open friday,ADMIN_INFO
do you know are you open friday!,ADMIN_INFO
where you located?!,ADMIN_INFO
so what's your address,ADMIN_INFO
hi open on sunday?,ADMIN_INFO
uhh where can i park??,ADMIN_INFO
open on sunday...,ADMIN_INFO
uh what's your address...,ADMIN_INFO
what days are you open!,ADMIN_INFO
uhh do you take blue cross??,ADMIN_INFO
can you tell me where's the clinic located again??,ADMIN_INFO
can you tell me are you near downtown??,ADMIN_INFO
umm you open right now,ADMIN_INFO
what insurances do you accept?,ADMIN_INFO
hey there do you validate parking...,ADMIN_INFO
do you know what's your website??,ADMIN_INFO
hi what are your hours...,ADMIN_INFO
yo do you take insurance??,ADMIN_INFO
uhh where's the location...,ADMIN_INFO
can you tell me what time you open tomorrow?,ADMIN_INFO
uhh where can i park.,ADMIN_INFO
uh is there parking nearby!,ADMIN_INFO
do you know what days are you open?,ADMIN_INFO
uhh what's the address for the clinic??,ADMIN_INFO
umm where can i park,ADMIN_INFO
hey there are you open holidays.,ADMIN_INFO
can you tell me what's your address.,ADMIN_INFO
uhh do you take medi-cal??,ADMIN_INFO
yo how do i get to your office!,ADMIN_INFO
uhh how do i get to your office?!,ADMIN_INFO
do you know when do you open,ADMIN_INFO
umm how do i find your location??,ADMIN_INFO
uhh you open right now.,ADMIN_INFO
do you know do you take blue cross?,ADMIN_INFO
yo are you near downtown?,ADMIN_INFO
you open right now?!,ADMIN_INFO
can you tell me are you open holidays.,ADMIN_INFO
please do you take insurance...,ADMIN_INFO
do you know are you open friday,ADMIN_INFO
so are you open on weekends,ADMIN_INFO
umm what time does the office close!,ADMIN_INFO
umm where you located?!,ADMIN_INFO
so are you near downtown,ADMIN_INFO
uhh how do i find your location?!,ADMIN_INFO
hey what's your address?!,ADMIN_INFO
umm what's your website?!,ADMIN_INFO
hi are you near the beach.,ADMIN_INFO
how do i find your location,ADMIN_INFO
yo do you take medicare?!,ADMIN_INFO
uhh how do i get to your office...,ADMIN_INFO
do you know when do you open?,ADMIN_INFO
hi are you near the beach,ADMIN_INFO
so how do i find your location,ADMIN_INFO
can you tell me is there parking nearby?,ADMIN_INFO
yo what's your address...,ADMIN_INFO
so are you open friday??,ADMIN_INFO
hey you open right now,ADMIN_INFO
uh open on sunday?!,ADMIN_INFO
do you know what insurances do you accept,ADMIN_INFO
hey do you take blue cross??,ADMIN_INFO
do you know are you open holidays,ADMIN_INFO
hey what time you open tomorrow,ADMIN_INFO
uh is there parking nearby.,ADMIN_INFO
please do you take medicare!,ADMIN_INFO
where's the clinic located again!,ADMIN_INFO
can you tell me what's your address?!,ADMIN_INFO
please what hours you open?!,ADMIN_INFO
uhh are you near downtown?!,ADMIN_INFO
hi when do you open!,ADMIN_INFO
uhh what days are you open??,ADMIN_INFO
what time you open tomorrow?!,ADMIN_INFO
umm what's your address?!,ADMIN_INFO
uh what hours you open??,ADMIN_INFO
so what are your hours.,ADMIN_INFO
yo do you take medi-cal!,ADMIN_INFO
yo do you take insurance...,ADMIN_INFO
uhh where can i park...,ADMIN_INFO
can you tell me where's the clinic located again.,ADMIN_INFO
are you near the beach?,ADMIN_INFO
please when do you open.,ADMIN_INFO
so are you open friday??,ADMIN_INFO
