text,label
"Um, Customer service, please.",HUMAN_AGENT
"Um, is there a person i can talk to  right now.",HUMAN_AGENT
Can you transfer me to support  ASAP,HUMAN_AGENT
I'd like to speak to a real person about my bill.,HUMAN_AGENT
Can I talk to a live agent?,HUMAN_AGENT
"Okay, I'd like to speak with the receptionist.",HUMAN_AGENT
Get me an operator.,HUMAN_AGENT
"Hi, Can I reach an operator  if possible.",HUMAN_AGENT
Put me through to a person.,HUMAN_AGENT
I need a human agent.,HUMAN_AGENT
i'd like to talk to an agent. ASAP,HUMAN_AGENT
Get me a live person now.,HUMAN_AGENT
Can I connect with someone  if possible. right now,HUMAN_AGENT
Can you call the receptionist for me  right now,HUMAN_AGENT
"Uh, Switch me to someone in appointments.",HUMAN_AGENT
Can I reach someone in customer service,HUMAN_AGENT
Let me talk to someone who works there.,HUMAN_AGENT
"Okay, Can I talk to an operator? right now",HUMAN_AGENT
Can you put me in touch with someone real  today,HUMAN_AGENT
Can I talk to a representative  if possible.,HUMAN_AGENT
Can I reach someone in billing  right now.,HUMAN_AGENT
Can i connect with someone?,HUMAN_AGENT
Can i be transferred to an operator  today.,HUMAN_AGENT
Connect me with someone real.,HUMAN_AGENT
"Hi, Customer service, please. please",HUMAN_AGENT
"Hey, Human support pls.",HUMAN_AGENT
Can I speak to the receptionist?,HUMAN_AGENT
Connect me to a person in billing.,HUMAN_AGENT
Can I connect with someone in scheduling,HUMAN_AGENT
Please pass me to a person.,HUMAN_AGENT
Please escalate to a person.,HUMAN_AGENT
Can I get on the line with a live agent?,HUMAN_AGENT
Can I be transferred to a representative,HUMAN_AGENT
Is there a way to reach a person if possible,HUMAN_AGENT
Can i get on the line with a representative?,HUMAN_AGENT
"Okay, I need to speak with an actual person.",HUMAN_AGENT
Can I talk to an operator?,HUMAN_AGENT
I want to speak with a human about portal access. today,HUMAN_AGENT
"Talk to a person, please.",HUMAN_AGENT
"Okay, Can you get a staff member on the line?",HUMAN_AGENT
Can I reach an operator?,HUMAN_AGENT
Can I talk to a person about my refill?,HUMAN_AGENT
"Uh, Can I reach someone in front desk?",HUMAN_AGENT
Can I connect with someone in portal support?,HUMAN_AGENT
Can I get on the line with an operator  if possible.,HUMAN_AGENT
Can I connect with someone in customer service  thanks.,HUMAN_AGENT
Can i get on the line with the receptionist  if possible.,HUMAN_AGENT
Transfer me to a human agent ASAP.,HUMAN_AGENT
"Hi, I'd like to speak with the receptionist.",HUMAN_AGENT
"Alright, Can you escalate this to the front desk  asap.",HUMAN_AGENT
"Uh, Send me to the front desk.",HUMAN_AGENT
Can you connect me to a real person in scheduling  right now.,HUMAN_AGENT
I need a human ASAP.,HUMAN_AGENT
I need the front desk.,HUMAN_AGENT
"Operator, please.",HUMAN_AGENT
Can I talk to an operator  today.,HUMAN_AGENT
"Front desk, please transfer. right now",HUMAN_AGENT
Can you connect me with medical records  please.,HUMAN_AGENT
Can you get me a real person?,HUMAN_AGENT
"Give me a human, not a bot.",HUMAN_AGENT
Can I connect with the receptionist  right now.,HUMAN_AGENT
"Customer service, please.",HUMAN_AGENT
Please transfer me to a human.,HUMAN_AGENT
Can I speak to a rep  please.,HUMAN_AGENT
Can i get on the line with someone  please.,HUMAN_AGENT
Can I talk to a live agent? today,HUMAN_AGENT
Can you hand me off to a real person?,HUMAN_AGENT
Can you hand me off to a real person  if possible.,HUMAN_AGENT
Can i speak to a human this minute,HUMAN_AGENT
Can you connect me to the front desk?,HUMAN_AGENT
Can you connect me with medical records thanks,HUMAN_AGENT
Let me talk to a human at the front desk. quickly,HUMAN_AGENT
"Hi, i need to talk to a live agent about billing.",HUMAN_AGENT
Can i be transferred to a live agent,HUMAN_AGENT
Can i talk to an actual human being? ASAP,HUMAN_AGENT
Can I get on the line with the receptionist  right now.,HUMAN_AGENT
Can I talk to a human  if possible.,HUMAN_AGENT
Can you call the receptionist for me  thanks.,HUMAN_AGENT
Human support please.,HUMAN_AGENT
Can you route me to someone real?,HUMAN_AGENT
Can I be routed to the receptionist  thanks. today,HUMAN_AGENT
Can I reach the receptionist,HUMAN_AGENT
"Hello, i'd like to speak with someone live.",HUMAN_AGENT
Let me talk to a human at the front desk.,HUMAN_AGENT
Can you xfer me to a nurse? please,HUMAN_AGENT
"Um, I need to speak with a person about insurance. ASAP",HUMAN_AGENT
Please connect me to a human representative. this minute,HUMAN_AGENT
"Uh, Can I connect with the receptionist?",HUMAN_AGENT
Please connect me to someone live.,HUMAN_AGENT
