text,label
"Hi, I need someone in appointments, not a bot.",HUMAN_AGENT
"Hey, Operator please now.",HUMAN_AGENT
i need to talk to an actual human being if possible.,HUMAN_AGENT
"uh, is there a way to reach an operator asap.",HUMAN_AGENT
I want to speak to someone in billing real.,HUMAN_AGENT
Could you switch me to someone in front desk?,HUMAN_AGENT
I want to speak to a representative.,HUMAN_AGENT
Let me speak to someone in front desk human thanks.,HUMAN_AGENT
"Hello, I need a live agent asap.",HUMAN_AGENT
Could you switch me to someone in appointments,HUMAN_AGENT
"Uh, Send me to a live person asap.",HUMAN_AGENT
"Um, Get me an agent.",HUMAN_AGENT
Can you route me to someone in scheduling,HUMAN_AGENT
I need to speak with staff asap.,HUMAN_AGENT
i want to talk to scheduling right away.,HUMAN_AGENT
Please connect me to a nurse please.,HUMAN_AGENT
i want to talk to scheduling.,HUMAN_AGENT
"Hi, Can I talk to someone at the office?",HUMAN_AGENT
Can you connect me to a human thanks.,HUMAN_AGENT
can i talk to a supervisor?,HUMAN_AGENT
I need a live agent right away.,HUMAN_AGENT
I want to talk to scheduling.,HUMAN_AGENT
Please give me a human.,HUMAN_AGENT
Talk to someone in scheduling please.,HUMAN_AGENT
"Hey, I need a live agent.",HUMAN_AGENT
"Hi, Can I speak with someone in insurance from billing?",HUMAN_AGENT
Can I speak with someone from billing,HUMAN_AGENT
I want a staff member on the line.,HUMAN_AGENT
Can you put me in touch with a representative please.,HUMAN_AGENT
"Hey, Is there a way to reach an operator?",HUMAN_AGENT
Please transfer me to a human,HUMAN_AGENT
I need to speak with staff.,HUMAN_AGENT
Can you connect me to a human?,HUMAN_AGENT
Could you switch me to a person please.,HUMAN_AGENT
"Okay, I need to talk to an actual human being.",HUMAN_AGENT
"Hey, Can I talk to someone in scheduling at the office?",HUMAN_AGENT
"Hey, Is there a real human available right now?",HUMAN_AGENT
I want to talk to scheduling please.,HUMAN_AGENT
Send me to a live person now.,HUMAN_AGENT
I need a live agent thanks.,HUMAN_AGENT
Can you route me to someone in insurance?,HUMAN_AGENT
i'd like to be transferred to a human.,HUMAN_AGENT
I want to talk to scheduling thanks.,HUMAN_AGENT
Can a real person take over?,HUMAN_AGENT
Please transfer me to a human thanks.,HUMAN_AGENT
put me through to a real person.,HUMAN_AGENT
Can I speak with someone from billing?,HUMAN_AGENT
"Hi, Put me through to a real person.",HUMAN_AGENT
Let me talk to someone in appointments real.,HUMAN_AGENT
can i speak with someone in portal support from billing?,HUMAN_AGENT
Please give me a human if possible.,HUMAN_AGENT
can you put me in touch with a representative,HUMAN_AGENT
Can you escalate me to support now.,HUMAN_AGENT
Is there a way to reach an operator?,HUMAN_AGENT
Can you route me to someone?,HUMAN_AGENT
"I need a person, not a bot asap.",HUMAN_AGENT
Could you switch me to someone in insurance?,HUMAN_AGENT
Is there a real human available right now thanks.,HUMAN_AGENT
I want to speak to someone real.,HUMAN_AGENT
"Hello, Can I speak with someone from billing",HUMAN_AGENT
I need a live agent.,HUMAN_AGENT
Can you put me in touch with a representative?,HUMAN_AGENT
is there a way to reach an operator?,HUMAN_AGENT
"I need a person, not a bot.",HUMAN_AGENT
Talk to a person please.,HUMAN_AGENT
I need to speak with staff please.,HUMAN_AGENT
"Okay, I'd like to be transferred to a human thanks.",HUMAN_AGENT
"hi, i need to talk to an actual human being.",HUMAN_AGENT
"Alright, I need to talk to an actual human being.",HUMAN_AGENT
let me talk to someone real.,HUMAN_AGENT
Let me speak to someone human.,HUMAN_AGENT
i want to speak to someone real asap.,HUMAN_AGENT
can you put me in touch with a representative asap.,HUMAN_AGENT
"Uh, Please transfer me to a human asap.",HUMAN_AGENT
i want a staff member on the line.,HUMAN_AGENT
I'd like to talk to the receptionist.,HUMAN_AGENT
Please give me a human asap.,HUMAN_AGENT
"Um, I need a person, not a bot",HUMAN_AGENT
Let me speak to someone human right away.,HUMAN_AGENT
Can I talk to a supervisor now.,HUMAN_AGENT
"Uh, Is there a way to reach an operator asap.",HUMAN_AGENT
Please connect me to a nurse.,HUMAN_AGENT
"Hey, Please escalate to a live agent asap.",HUMAN_AGENT
Can you hand this to a person?,HUMAN_AGENT
Human agent now.,HUMAN_AGENT
"Hello, Can you connect me to a human?",HUMAN_AGENT
connect me with someone live.,HUMAN_AGENT
Could you switch me to a person thanks.,HUMAN_AGENT
Send me to a live person.,HUMAN_AGENT
please give me a human.,HUMAN_AGENT
Please transfer me to a human if possible.,HUMAN_AGENT
Can you connect me to a human,HUMAN_AGENT
Connect me with someone in billing live right away.,HUMAN_AGENT
"Hello, Is there a real human available right now if possible.",HUMAN_AGENT
Can you hand this to someone in medical records?,HUMAN_AGENT
Can a real person take over please.,HUMAN_AGENT
can you connect me to a human?,HUMAN_AGENT
Transfer me to customer service.,HUMAN_AGENT
Please escalate to a live agent.,HUMAN_AGENT
"Hi, Please connect me to a nurse.",HUMAN_AGENT
Transfer me to customer service asap.,HUMAN_AGENT
Please route me to a person.,HUMAN_AGENT
Let me talk to someone in front desk real.,HUMAN_AGENT
Please connect me to a nurse now.,HUMAN_AGENT
Can you escalate me to support?,HUMAN_AGENT
transfer me to customer service.,HUMAN_AGENT
"Uh, I need to talk to an actual human being.",HUMAN_AGENT
"Um, Please transfer me to a human.",HUMAN_AGENT
I want to speak to someone real,HUMAN_AGENT
"Hi, I need a person, not a bot.",HUMAN_AGENT
I want a staff member on the line,HUMAN_AGENT
Real human please.,HUMAN_AGENT
"Alright, Can I speak with someone from billing right away.",HUMAN_AGENT
I want to speak to a representative if possible.,HUMAN_AGENT
Get me an agent.,HUMAN_AGENT
I need to talk to an actual human being.,HUMAN_AGENT
