text,label
I'd like to schedule with Dr. Garcia on Wednesday September 10.,APPT_NEW
Thanks for your help earlier.,OTHER
"Good evening, Need prescription refill for lisinopril 10mg. That’s all.",RX_REFILL
Do you accept walk-ins?,ADMIN_INFO
"Good afternoon, Can the doctor approve a refill for levothyroxine 50mcg? Thanks.",RX_REFILL
I'd like to cancel my appointment at Westside Health.,APPT_CANCEL
I need to cancel tomorrow's appointment.,APPT_CANCEL
"Hi, Thanks for your help earlier. Thanks so much.",OTHER
"Good morning, I need to reschedule my appointment from Friday August 08 to Monday September 29. Please let me know.",APPT_RESCHEDULE
"Good afternoon, Can we move my appointment to Friday September 19?",APPT_RESCHEDULE
Can I book an appointment for Thursday September 18?,APPT_NEW
"Hi, I need to change the time; Sunday September 07 would work. Thanks.",APPT_RESCHEDULE
Can you cancel my visit with Dr. Garcia?,APPT_CANCEL
"Hi, Do you accept walk-ins? I can't log into the portal.",ADMIN_INFO
Could I create an appointment for on Saturday September 13 at Sunrise Family Medicine?,APPT_NEW
"Hi, Is on Sunday September 14 available for a first-time appointment?",APPT_NEW
"New patient appointment on Monday September 08, do you have openings? Thanks so much.",APPT_NEW
"Good morning, Do you accept walk-ins?",ADMIN_INFO
"Good afternoon, I have to push my appointment—can I switch to Friday October 10?",APPT_RESCHEDULE
"Hey, I'd like to cancel my appointment at Lakeview Medical.",APPT_CANCEL
Just calling to check something. Thanks.,OTHER
"Hey, Please change my visit to Monday September 01. Thanks so much.",APPT_RESCHEDULE
Thanks for your help earlier.,OTHER
Hello there. Thanks so much.,OTHER
I'm out of atorvastatin 20mg; please send a refill to Rite Aid by the mall.,RX_REFILL
Need prescription refill for atorvastatin 20mg. Thank you.,RX_REFILL
Can you renew my amlodipine 5mg prescription at CVS on Main St?,RX_REFILL
"Hello, Need prescription refill for amlodipine 5mg. Thanks.",RX_REFILL
Do you accept walk-ins? That’s all.,ADMIN_INFO
Please change my visit to Monday September 01.,APPT_RESCHEDULE
I'd like to cancel my appointment at Westside Health.,APPT_CANCEL
"Hello, Need prescription refill for lisinopril 10mg.",RX_REFILL
"Hey, New patient appointment next Thursday, do you have openings? That’s all.",APPT_NEW
I want to set up a visit with Dr. Patel next Friday. Thanks so much.,APPT_NEW
Can you move my Dr. Kim appointment to Monday September 29? Thanks so much.,APPT_RESCHEDULE
I need to schedule a new appointment next Friday. Appreciate it.,APPT_NEW
Thanks for your help earlier.,OTHER
I'd like to cancel my appointment at Sunrise Family Medicine. Thank you.,APPT_CANCEL
"Hi, Is anyone available?",OTHER
"New patient appointment next Wednesday, do you have openings?",APPT_NEW
"Hello, Can I book an appointment next Friday? Thanks.",APPT_NEW
Can you cancel my visit with Dr. Lee?,APPT_CANCEL
I want to set up a visit with Dr. Brown next Wednesday. Please let me know.,APPT_NEW
Please change my visit to Saturday September 27.,APPT_RESCHEDULE
"Good evening, Do you have parking?",ADMIN_INFO
Just calling to check something. Appreciate it.,OTHER
Hi.,OTHER
"Hello, I want to set up a visit with Dr. Kim for Sunday September 14.",APPT_NEW
I need to reschedule my appointment from Monday August 18 to Friday September 26. Appreciate it.,APPT_RESCHEDULE
Not sure what I need yet.,OTHER
"Good afternoon, Hi.",OTHER
"Good evening, Can you move my PA Johnson appointment to Tuesday September 30? That’s all.",APPT_RESCHEDULE
Can someone help me with something? Thanks.,OTHER
"Hello, Can you cancel my visit with Dr. Kim?",APPT_CANCEL
Can the doctor approve a refill for atorvastatin 20mg?,RX_REFILL
I need to reschedule my appointment from Monday July 14 to Monday September 15. Appreciate it.,APPT_RESCHEDULE
I need to change the time; Friday October 03 would work. Thank you.,APPT_RESCHEDULE
I'd like to schedule with NP Davis on Thursday September 04. That’s all.,APPT_NEW
Do you have parking? Thank you.,ADMIN_INFO
Cancel my appointment—something came up.,APPT_CANCEL
I need the clinic phone number. Do you have an online portal for forms? That’s all.,ADMIN_INFO
I'm out of lisinopril 10mg; please send a refill to Costco Pharmacy.,RX_REFILL
I need the clinic phone number. Thanks.,ADMIN_INFO
"Hi, Just calling to check something. Thanks.",OTHER
"Good morning, I want to set up a visit with Dr. Kim next Thursday. Appreciate it.",APPT_NEW
"Good evening, Hi.",OTHER
I have to push my appointment—can I switch to Monday October 06?,APPT_RESCHEDULE
"Good morning, Can I book an appointment on Saturday September 13?",APPT_NEW
"Good morning, I'd like to cancel my appointment at Sunrise Family Medicine.",APPT_CANCEL
Can I book an appointment for Thursday September 04?,APPT_NEW
I need to reschedule my appointment from Monday July 14 to Tuesday September 16. Please let me know.,APPT_RESCHEDULE
I need the clinic phone number. That’s all.,ADMIN_INFO
"Hello, Can someone help me with something? Thanks so much.",OTHER
"New patient appointment next Friday, do you have openings? Please let me know.",APPT_NEW
Do you take Aetna? Thanks.,ADMIN_INFO
I need to cancel tomorrow's appointment. Thank you.,APPT_CANCEL
