text,label
im fine,OTHER
can you repeat ...,OTHER
say again .,OTHER
"um, come again",OTHER
"ok, repeat that",OTHER
"alright, ok cool",OTHER
"hey, never mind",OTHER
"right, thanks !",OTHER
sounds good to me !!,OTHER
"um, alright.",OTHER
"uh, sounds good",OTHER
mm.!,OTHER
"ok, say again",OTHER
affirmative,OTHER
"ok, uh",OTHER
"ok, can you say that again",OTHER
"um, i didn’t catch that",OTHER
"ok, mmhmm",OTHER
"uh, go ahead",OTHER
roger .,OTHER
please repeat that !,OTHER
right then .,OTHER
"uh, sure",OTHER
ok cool .,OTHER
"hey, ok then",OTHER
"yes, that'd be great !!",OTHER
"okay, all good",OTHER
"ok, got it",OTHER
pardon !!,OTHER
"ok, what was that",OTHER
"ok, roger",OTHER
"alright, say again",OTHER
okay then !,OTHER
sounds good !!,OTHER
Sounds good,OTHER
cool !!,OTHER
"ok, sure thing",OTHER
"okay, okay",OTHER
"hey, gotcha",OTHER
copy that,OTHER
"um, nah",OTHER
ok .,OTHER
do it please,OTHER
perfect .,OTHER
sounds good to me !,OTHER
"hey, sounds good to me",OTHER
"ok, okay...",OTHER
"okay, cool.",OTHER
repeat,OTHER
"right, thanks",OTHER
"uh, sure please",OTHER
"um, cancel that",OTHER
ok cool !,OTHER
"okay, repeat",OTHER
Okay,OTHER
mm.!!,OTHER
"alright, ok",OTHER
"hey, repeat please",OTHER
"hey, uh",OTHER
"okay, could you repeat that",OTHER
fine !,OTHER
fine .,OTHER
can you say that again .,OTHER
all good,OTHER
"uh, please do",OTHER
"okay, yes, go ahead",OTHER
Do it,OTHER
"okay, understood",OTHER
"alright, not now",OTHER
yup ...,OTHER
"okay, ok.",OTHER
"sorry, repeat !",OTHER
"uh, again please",OTHER
"ok, come again",OTHER
"hey, can you say that again",OTHER
"okay, one more time",OTHER
pardon,OTHER
"uh, come again",OTHER
"okay, please repeat that",OTHER
sounds good to me .,OTHER
"uh, alright.",OTHER
that works !!,OTHER
Um,OTHER
Cool,OTHER
What did you say,OTHER
"ok, nope",OTHER
"alright, i didn’t hear that",OTHER
"okay, sure thing",OTHER
what was that ...,OTHER
it’s okay,OTHER
"uh, yep",OTHER
stop ...,OTHER
👍 please,OTHER
mm....,OTHER
okay,OTHER
"um, I’m fine",OTHER
again please .,OTHER
"ok, sounds good",OTHER
"okay, go ahead",OTHER
"alright, what did you say",OTHER
got it ...,OTHER
"hey, right then",OTHER
"hey, yes, that'd be great",OTHER
"yes, please do !!",OTHER
okay then .,OTHER
"yes, that'd be great .",OTHER
yes please .,OTHER
understood .,OTHER
say that again .,OTHER
Say again,OTHER
sounds good ...,OTHER
do it .,OTHER
"okay, roger",OTHER
all good .,OTHER
"ok, sure",OTHER
"okay, okay.",OTHER
I’m fine !,OTHER
"okay, repeat please",OTHER
"um, mm.",OTHER
im good,OTHER
ok...,OTHER
"ok, yes, that'd be great",OTHER
"uh, alright",OTHER
"hey, repeat that",OTHER
"uh, could you repeat that",OTHER
"alright, got it",OTHER
Okay please,OTHER
repeat !!,OTHER
"alright, alright",OTHER
"hey, that’s okay",OTHER
"hey, skip it",OTHER
"uh, great",OTHER
understood,OTHER
repeat that .,OTHER
mm..,OTHER
I’m fine ...,OTHER
"um, stop",OTHER
okay .,OTHER
"hey, ok cool",OTHER
roger !,OTHER
Skip it,OTHER
"hey, go ahead",OTHER
"um, yes, go ahead",OTHER
cool.!,OTHER
"hey, fine",OTHER
"ok, okay, thanks",OTHER
"ok, makes sense",OTHER
alright !,OTHER
come again !,OTHER
i’m good,OTHER
"um, alright",OTHER
yes thanks .,OTHER
ok,OTHER
"uh, sure.",OTHER
again please,OTHER
"uh, sounds good to me",OTHER
"um, run that back",OTHER
"ok, repeat",OTHER
"uh, cool",OTHER
I’m good !!,OTHER
fine,OTHER
"um, cool",OTHER
"um, ok cool",OTHER
"um, okay please",OTHER
Gotcha,OTHER
"ok, run that back",OTHER
makes sense !!,OTHER
Uh huh,OTHER
"hey, yeah",OTHER
"alright, pardon",OTHER
"okay, alright",OTHER
That’s fine,OTHER
repeat please .,OTHER
"uh, okay thanks",OTHER
"ok, yep",OTHER
"ok, I’m good",OTHER
"alright, okay...",OTHER
nah !,OTHER
i didn’t hear that !!,OTHER
"um, sounds good to me",OTHER
"alright, yes please",OTHER
"sorry, repeat .",OTHER
go ahead,OTHER
"hey, do not",OTHER
please !,OTHER
👍🏻,OTHER
alright....,OTHER
"uh, cancel that",OTHER
leave it ...,OTHER
can you repeat .,OTHER
"alright, gotcha",OTHER
"alright, okay, thanks",OTHER
skip it !!,OTHER
"ok, not now",OTHER
sounds good to me,OTHER
"ok, right then",OTHER
yep !,OTHER
"alright, yes, please do",OTHER
"ok, do it please",OTHER
alright !!,OTHER
"hey, run that back",OTHER
"hey, mm.",OTHER
"okay, fine",OTHER
I’m good !,OTHER
not now !!,OTHER
"hey, okay please",OTHER
mmhmm !,OTHER
cancel that ...,OTHER
cancel that !,OTHER
"um, yes please",OTHER
that’s fine ...,OTHER
sure,OTHER
🙌,OTHER
"ok, fine",OTHER
it’s okay ...,OTHER
uh huh .,OTHER
"alright, mmhmm",OTHER
"ok, okay thanks",OTHER
"okay, mm.",OTHER
Right,OTHER
"okay, yep",OTHER
no,OTHER
"uh, uh",OTHER
do not !,OTHER
"okay, sure please",OTHER
Stop,OTHER
great .,OTHER
"hey, don’t",OTHER
copy,OTHER
yes thanks ...,OTHER
"alright, uh huh",OTHER
got it,OTHER
"ok, yes, go ahead",OTHER
got it !,OTHER
"um, sure please",OTHER
Mmhmm,OTHER
"okay, sounds good to me",OTHER
"ok, can you repeat",OTHER
roger ...,OTHER
"okay, thanks",OTHER
"ok, okay then",OTHER
"ok, don’t",OTHER
Repeat that,OTHER
"okay, sorry, repeat",OTHER
could you repeat that !,OTHER
"uh, yes",OTHER
"ok, yeah",OTHER
it’s okay !!,OTHER
"alright, uh",OTHER
sure.!,OTHER
okay...!!,OTHER
Again please,OTHER
"um, yes thanks",OTHER
alright then,OTHER
ok then !,OTHER
"uh, what was that",OTHER
okay then !!,OTHER
alright.!,OTHER
"uh, pardon",OTHER
alright then !,OTHER
"hey, yes",OTHER
okay....,OTHER
"alright, sorry what",OTHER
Pardon,OTHER
"ok, never mind",OTHER
"okay, yup",OTHER
please ...,OTHER
"ok, please repeat that",OTHER
I didn’t hear that,OTHER
okay please .,OTHER
"um, pardon",OTHER
"um, please do",OTHER
"ok, ok then",OTHER
"sure, go ahead",OTHER
"hey, leave it",OTHER
"yes, that'd be great ...",OTHER
"hey, um",OTHER
"um, okay then",OTHER
"um, okay",OTHER
"uh, it’s okay",OTHER
"um, yeah",OTHER
"alright, that works",OTHER
okay thanks,OTHER
one more time,OTHER
"okay, works for me",OTHER
"yes, that'd be great !",OTHER
never mind .,OTHER
say that again,OTHER
okay then ...,OTHER
"Sorry, repeat",OTHER
please do ...,OTHER
"yes, go ahead !",OTHER
gotcha .,OTHER
Alright.,OTHER
"hey, copy",OTHER
"alright, okay please",OTHER
"okay, that works",OTHER
"hey, that works",OTHER
right !!,OTHER
Ok cool,OTHER
"yes, please do",OTHER
"uh, right then",OTHER
gotcha !!,OTHER
"um, repeat that",OTHER
repeat that !!,OTHER
again please !!,OTHER
run that back ...,OTHER
that’s okay .,OTHER
"alright, works for me",OTHER
sure.,OTHER
can you repeat !!,OTHER
please repeat,OTHER
"uh, okay, thanks",OTHER
"hey, sorry what",OTHER
could you repeat that !!,OTHER
"okay, what was that",OTHER
right then,OTHER
"hey, say again",OTHER
"okay, not now",OTHER
"um, that’s fine",OTHER
"alright, repeat please",OTHER
"hey, sure please",OTHER
"um, what was that",OTHER
cool....,OTHER
"uh, alright then",OTHER
please .,OTHER
"um, right then",OTHER
"ok, okay please",OTHER
"alright, skip it",OTHER
sure please ...,OTHER
Nope,OTHER
"okay, come again",OTHER
Yup.,OTHER
mmhmm ...,OTHER
no !!,OTHER
sure ...,OTHER
"okay, sounds good",OTHER
yes,OTHER
"um, ok.",OTHER
"okay, ok cool",OTHER
"um, works for me",OTHER
sure thing !!,OTHER
"uh, yup.",OTHER
"alright, nevermind",OTHER
i didn’t hear that,OTHER
"uh, never mind",OTHER
"alright, great",OTHER
sure....,OTHER
"hey, roger",OTHER
"um, okay...",OTHER
"uh, do not",OTHER
Say that again,OTHER
"hey, okay.",OTHER
"uh, yes, that'd be great",OTHER
"alright, mm.",OTHER
um !,OTHER
✅,OTHER
"okay, skip it",OTHER
uh !!,OTHER
ok thanks,OTHER
Please repeat,OTHER
"alright, affirmative",OTHER
Roger,OTHER
"sorry, repeat",OTHER
"um, leave it",OTHER
gotcha ...,OTHER
